song-name	url
Lost In The Darkness	https://www.allmusicals.com/lyrics/jekyllhyde/lostinthedarkness.htm
Facade	https://www.allmusicals.com/lyrics/jekyllhyde/facade.htm
Pursue The Truth / Facade (Reprise 1) / Emma's Reason	https://www.allmusicals.com/lyrics/jekyllhyde/pursuethetruthfacadereprise1emmasreason.htm
I Must Go On / Take Me As I Am	https://www.allmusicals.com/lyrics/jekyllhyde/imustgoontakemeasiam.htm
Letting Go	https://www.allmusicals.com/lyrics/jekyllhyde/lettinggo.htm
Facade (Reprise 2)	https://www.allmusicals.com/lyrics/jekyllhyde/facadereprise2.htm
No One Knows Who I Am	https://www.allmusicals.com/lyrics/jekyllhyde/nooneknowswhoiam.htm
Good 'N' Evil	https://www.allmusicals.com/lyrics/jekyllhyde/goodnevil.htm
Now There Is No Choice / This Is The Moment	https://www.allmusicals.com/lyrics/jekyllhyde/nowthereisnochoicethisisthemoment.htm
First Transformation	https://www.allmusicals.com/lyrics/jekyllhyde/firsttransformation.htm
Alive	https://www.allmusicals.com/lyrics/jekyllhyde/alive.htm
Your Work- And Nothing More	https://www.allmusicals.com/lyrics/jekyllhyde/yourworkandnothingmore.htm
Sympathy, Tenderness	https://www.allmusicals.com/lyrics/jekyllhyde/sympathytenderness.htm
Someone Like You	https://www.allmusicals.com/lyrics/jekyllhyde/someonelikeyou.htm
Alive (Reprise)	https://www.allmusicals.com/lyrics/jekyllhyde/alivereprise.htm
Murder, Murder	https://www.allmusicals.com/lyrics/jekyllhyde/murdermurder.htm
Once Upon A Dream	https://www.allmusicals.com/lyrics/jekyllhyde/onceuponadream.htm
Obsession	https://www.allmusicals.com/lyrics/jekyllhyde/obsession.htm
In His Eyes	https://www.allmusicals.com/lyrics/jekyllhyde/inhiseyes.htm
Dangerous Game / Facade (Reprise 3)	https://www.allmusicals.com/lyrics/jekyllhyde/dangerousgamefacadereprise3.htm
The Way Back	https://www.allmusicals.com/lyrics/jekyllhyde/thewayback.htm
A New Life	https://www.allmusicals.com/lyrics/jekyllhyde/anewlife.htm
Confrontation	https://www.allmusicals.com/lyrics/jekyllhyde/confrontation.htm
Facade (Reprise 4) / Finale	https://www.allmusicals.com/lyrics/jekyllhyde/facadereprise4finale.htm
I Need To Know	https://www.allmusicals.com/lyrics/jekyllhyde/ineedtoknow.htm
Bitch Bitch Bitch	https://www.allmusicals.com/lyrics/jekyllhyde/bitchbitchbitch.htm
The Engagement Party	https://www.allmusicals.com/lyrics/jekyllhyde/theengagementparty.htm
The Board Of Governors/ Jekyll's Plea	https://www.allmusicals.com/lyrics/jekyllhyde/theboardofgovernorsjekyllsplea.htm
Bring On The Men	https://www.allmusicals.com/lyrics/jekyllhyde/bringonthemen.htm
Reflections	https://www.allmusicals.com/lyrics/jekyllhyde/reflections.htm
The World Has Gone Insane	https://www.allmusicals.com/lyrics/jekyllhyde/theworldhasgoneinsane.htm
The Girls Of The Night	https://www.allmusicals.com/lyrics/jekyllhyde/thegirlsofthenight.htm
If You Only Knew	https://www.allmusicals.com/lyrics/jekyllhyde/ifyouonlyknew.htm
Lucy Meets Jekyll/ Heres to the Night	https://www.allmusicals.com/lyrics/jekyllhyde/lucymeetsjekyllherestothenight.htm
Lucy Meets Hyde	https://www.allmusicals.com/lyrics/jekyllhyde/lucymeetshyde.htm
No One Must Ever Know	https://www.allmusicals.com/lyrics/jekyllhyde/noonemusteverknow.htm
Love Has Come Of Age	https://www.allmusicals.com/lyrics/jekyllhyde/lovehascomeofage.htm
Possesed	https://www.allmusicals.com/lyrics/jekyllhyde/possesed.htm
