song-name	url
Overtly-Ture Full Company	https://www.allmusicals.com/lyrics/jerryspringertheopera/overtlyturefullcompany.htm
Audience Very Plainsong	https://www.allmusicals.com/lyrics/jerryspringertheopera/audienceveryplainsong.htm
Ladies & Gentlemen / Have Yourselves A Good Time	https://www.allmusicals.com/lyrics/jerryspringertheopera/ladiesgentlemenhaveyourselvesagoodtime.htm
Bigger Than Oprah Winfrey	https://www.allmusicals.com/lyrics/jerryspringertheopera/biggerthanoprahwinfrey.htm
Foursome Guests	https://www.allmusicals.com/lyrics/jerryspringertheopera/foursomeguests.htm
I've Been Seeing Someone Else	https://www.allmusicals.com/lyrics/jerryspringertheopera/ivebeenseeingsomeoneelse.htm
Chick With A Dick / Talk To The Hand	https://www.allmusicals.com/lyrics/jerryspringertheopera/chickwithadicktalktothehand.htm
Adverts 1	https://www.allmusicals.com/lyrics/jerryspringertheopera/adverts1.htm
Intro To Diaper Man	https://www.allmusicals.com/lyrics/jerryspringertheopera/introtodiaperman.htm
Diaper Man / Montel Cums Dirty	https://www.allmusicals.com/lyrics/jerryspringertheopera/diapermanmontelcumsdirty.htm
This Is My Jerry Springer Moment	https://www.allmusicals.com/lyrics/jerryspringertheopera/thisismyjerryspringermoment.htm
Mama Gimmee Smack On The A**Hole	https://www.allmusicals.com/lyrics/jerryspringertheopera/mamagimmeesmackontheahole.htm
I Wanna Sing Something Beautiful	https://www.allmusicals.com/lyrics/jerryspringertheopera/iwannasingsomethingbeautiful.htm
Adverts 2	https://www.allmusicals.com/lyrics/jerryspringertheopera/adverts2.htm
First Time I Saw Jerry	https://www.allmusicals.com/lyrics/jerryspringertheopera/firsttimeisawjerry.htm
Backstage Scene	https://www.allmusicals.com/lyrics/jerryspringertheopera/backstagescene.htm
Poledancer	https://www.allmusicals.com/lyrics/jerryspringertheopera/poledancer.htm
I Just Wanna Dance	https://www.allmusicals.com/lyrics/jerryspringertheopera/ijustwannadance.htm
It Has No Name	https://www.allmusicals.com/lyrics/jerryspringertheopera/ithasnoname.htm
Some Are Decended From Angels	https://www.allmusicals.com/lyrics/jerryspringertheopera/somearedecendedfromangels.htm
Eat Excrete	https://www.allmusicals.com/lyrics/jerryspringertheopera/eatexcrete.htm
Gloomy Nurses / Purgatory Dawning / The Haunting	https://www.allmusicals.com/lyrics/jerryspringertheopera/gloomynursespurgatorydawningthehaunting.htm
Grilled & Roasted	https://www.allmusicals.com/lyrics/jerryspringertheopera/grilledroasted.htm
Once In Happy Realms Of Light	https://www.allmusicals.com/lyrics/jerryspringertheopera/onceinhappyrealmsoflight.htm
Martin's Richard-esque Finale de Grand Fromage	https://www.allmusicals.com/lyrics/jerryspringertheopera/martinsrichardesquefinaledegrandfromage.htm
