song-name	url
Ces Soirees la'	https://www.allmusicals.com/lyrics/jerseyboys/cessoireesla.htm
Early Years Medley	https://www.allmusicals.com/lyrics/jerseyboys/earlyyearsmedley.htm
Cry For Me	https://www.allmusicals.com/lyrics/jerseyboys/cryforme.htm
Backups Medley	https://www.allmusicals.com/lyrics/jerseyboys/backupsmedley.htm
Sherry	https://www.allmusicals.com/lyrics/jerseyboys/sherry.htm
Big Girls Don't Cry	https://www.allmusicals.com/lyrics/jerseyboys/biggirlsdontcry.htm
Walk Like A Man	https://www.allmusicals.com/lyrics/jerseyboys/walklikeaman.htm
December 1963 (Oh, What a Night)	https://www.allmusicals.com/lyrics/jerseyboys/december1963ohwhatanight.htm
My Boyfriend's Back	https://www.allmusicals.com/lyrics/jerseyboys/myboyfriendsback.htm
My Eyes Adored You	https://www.allmusicals.com/lyrics/jerseyboys/myeyesadoredyou.htm
Dawn (Go Away)	https://www.allmusicals.com/lyrics/jerseyboys/dawngoaway.htm
Big Man In Town	https://www.allmusicals.com/lyrics/jerseyboys/bigmanintown.htm
Dialogue: A Little Trouble	https://www.allmusicals.com/lyrics/jerseyboys/dialoguealittletrouble.htm
Beggin'	https://www.allmusicals.com/lyrics/jerseyboys/beggin.htm
Dialogue: See How You Handle It	https://www.allmusicals.com/lyrics/jerseyboys/dialogueseehowyouhandleit.htm
Medley	https://www.allmusicals.com/lyrics/jerseyboys/medley.htm
C'mon Marianne	https://www.allmusicals.com/lyrics/jerseyboys/cmonmarianne.htm
Can't Take My Eyes Off Of You	https://www.allmusicals.com/lyrics/jerseyboys/canttakemyeyesoffofyou.htm
Working My Way Back To You	https://www.allmusicals.com/lyrics/jerseyboys/workingmywaybacktoyou.htm
Fallen Angel	https://www.allmusicals.com/lyrics/jerseyboys/fallenangel.htm
Rag Doll	https://www.allmusicals.com/lyrics/jerseyboys/ragdoll.htm
Who Loves You	https://www.allmusicals.com/lyrics/jerseyboys/wholovesyou.htm
