song-name	url
Overture	https://www.allmusicals.com/lyrics/jesuschristsuperstar/overture.htm
Heaven On Their Minds	https://www.allmusicals.com/lyrics/jesuschristsuperstar/heavenontheirminds.htm
What's The Buzz	https://www.allmusicals.com/lyrics/jesuschristsuperstar/whatsthebuzz.htm
Then We Are Decided	https://www.allmusicals.com/lyrics/jesuschristsuperstar/thenwearedecided.htm
Strange Thing Mystifying	https://www.allmusicals.com/lyrics/jesuschristsuperstar/strangethingmystifying.htm
Everything's Alright	https://www.allmusicals.com/lyrics/jesuschristsuperstar/everythingsalright.htm
This Jesus Must Die	https://www.allmusicals.com/lyrics/jesuschristsuperstar/thisjesusmustdie.htm
Hosanna	https://www.allmusicals.com/lyrics/jesuschristsuperstar/hosanna.htm
Simon Zealotes	https://www.allmusicals.com/lyrics/jesuschristsuperstar/simonzealotes.htm
Poor Jerusalem	https://www.allmusicals.com/lyrics/jesuschristsuperstar/poorjerusalem.htm
Pilate's Dream	https://www.allmusicals.com/lyrics/jesuschristsuperstar/pilatesdream.htm
The Temple	https://www.allmusicals.com/lyrics/jesuschristsuperstar/thetemple.htm
I Don't Know How To Love Him	https://www.allmusicals.com/lyrics/jesuschristsuperstar/idontknowhowtolovehim.htm
Damned For All Time/Blood Money	https://www.allmusicals.com/lyrics/jesuschristsuperstar/damnedforalltimebloodmoney.htm
The Last Supper	https://www.allmusicals.com/lyrics/jesuschristsuperstar/thelastsupper.htm
Gethsemane (I Only Want To Say)	https://www.allmusicals.com/lyrics/jesuschristsuperstar/gethsemaneionlywanttosay.htm
The Arrest	https://www.allmusicals.com/lyrics/jesuschristsuperstar/thearrest.htm
Peter's Denial	https://www.allmusicals.com/lyrics/jesuschristsuperstar/petersdenial.htm
Pilate And Christ	https://www.allmusicals.com/lyrics/jesuschristsuperstar/pilateandchrist.htm
King Herod's Song (Try It And See)	https://www.allmusicals.com/lyrics/jesuschristsuperstar/kingherodssongtryitandsee.htm
Could We Start Again Please?	https://www.allmusicals.com/lyrics/jesuschristsuperstar/couldwestartagainplease.htm
Judas' Death	https://www.allmusicals.com/lyrics/jesuschristsuperstar/judasdeath.htm
Trial Before Pilate	https://www.allmusicals.com/lyrics/jesuschristsuperstar/trialbeforepilate.htm
Superstar	https://www.allmusicals.com/lyrics/jesuschristsuperstar/superstar.htm
The Crucifixion	https://www.allmusicals.com/lyrics/jesuschristsuperstar/thecrucifixion.htm
John Nineteen: Forty-One	https://www.allmusicals.com/lyrics/jesuschristsuperstar/johnnineteenfortyone.htm
