song-name	url
Prologue	https://www.allmusicals.com/lyrics/josephandtheamazingtechnicolordreamcoat/prologue.htm
Any Dream Will Do	https://www.allmusicals.com/lyrics/josephandtheamazingtechnicolordreamcoat/anydreamwilldo.htm
Jacob & Sons	https://www.allmusicals.com/lyrics/josephandtheamazingtechnicolordreamcoat/jacobsons.htm
Joseph's Coat	https://www.allmusicals.com/lyrics/josephandtheamazingtechnicolordreamcoat/josephscoat.htm
Joseph's Dreams	https://www.allmusicals.com/lyrics/josephandtheamazingtechnicolordreamcoat/josephsdreams.htm
Poor, Poor Joseph	https://www.allmusicals.com/lyrics/josephandtheamazingtechnicolordreamcoat/poorpoorjoseph.htm
One More Angel in Heaven	https://www.allmusicals.com/lyrics/josephandtheamazingtechnicolordreamcoat/onemoreangelinheaven.htm
Potiphar	https://www.allmusicals.com/lyrics/josephandtheamazingtechnicolordreamcoat/potiphar.htm
Close Every Door	https://www.allmusicals.com/lyrics/josephandtheamazingtechnicolordreamcoat/closeeverydoor.htm
Go, Go, Go Joseph	https://www.allmusicals.com/lyrics/josephandtheamazingtechnicolordreamcoat/gogogojoseph.htm
Pharaoh Story	https://www.allmusicals.com/lyrics/josephandtheamazingtechnicolordreamcoat/pharaohstory.htm
Poor, Poor Pharaoh	https://www.allmusicals.com/lyrics/josephandtheamazingtechnicolordreamcoat/poorpoorpharaoh.htm
Song of the King (Seven Fat Cows)	https://www.allmusicals.com/lyrics/josephandtheamazingtechnicolordreamcoat/songofthekingsevenfatcows.htm
Pharaoh's Dreams Explained	https://www.allmusicals.com/lyrics/josephandtheamazingtechnicolordreamcoat/pharaohsdreamsexplained.htm
Stone the Crows	https://www.allmusicals.com/lyrics/josephandtheamazingtechnicolordreamcoat/stonethecrows.htm
Those Canaan Days	https://www.allmusicals.com/lyrics/josephandtheamazingtechnicolordreamcoat/thosecanaandays.htm
Brothers Come to Egypt	https://www.allmusicals.com/lyrics/josephandtheamazingtechnicolordreamcoat/brotherscometoegypt.htm
Grovel, Grovel	https://www.allmusicals.com/lyrics/josephandtheamazingtechnicolordreamcoat/grovelgrovel.htm
Who's the Thief?	https://www.allmusicals.com/lyrics/josephandtheamazingtechnicolordreamcoat/whosthethief.htm
Benjamin Calypso	https://www.allmusicals.com/lyrics/josephandtheamazingtechnicolordreamcoat/benjamincalypso.htm
Joseph All the Time	https://www.allmusicals.com/lyrics/josephandtheamazingtechnicolordreamcoat/josephallthetime.htm
Jacob in Egypt	https://www.allmusicals.com/lyrics/josephandtheamazingtechnicolordreamcoat/jacobinegypt.htm
Finale	https://www.allmusicals.com/lyrics/josephandtheamazingtechnicolordreamcoat/finale.htm
Joseph Megamix	https://www.allmusicals.com/lyrics/josephandtheamazingtechnicolordreamcoat/josephmegamix.htm
