song-name	url
Overture - Jungle Book	https://www.allmusicals.com/lyrics/junglebook/overturejunglebook.htm
Baby	https://www.allmusicals.com/lyrics/junglebook/baby.htm
Colonel Hathi's March (The Elephant Song)	https://www.allmusicals.com/lyrics/junglebook/colonelhathismarchtheelephantsong.htm
The Bare Necessities	https://www.allmusicals.com/lyrics/junglebook/thebarenecessities.htm
I Wan'na Be Like You (The Monkey Song)	https://www.allmusicals.com/lyrics/junglebook/iwannabelikeyouthemonkeysong.htm
Monkey Chase	https://www.allmusicals.com/lyrics/junglebook/monkeychase.htm
Tell Him	https://www.allmusicals.com/lyrics/junglebook/tellhim.htm
Colonel Hathi's March (Reprise)	https://www.allmusicals.com/lyrics/junglebook/colonelhathismarchreprise.htm
Jungle Beat	https://www.allmusicals.com/lyrics/junglebook/junglebeat.htm
Trust In Me (The Python's Song)	https://www.allmusicals.com/lyrics/junglebook/trustinmethepythonssong.htm
What'cha Wanna Do	https://www.allmusicals.com/lyrics/junglebook/whatchawannado.htm
That's What Friends Are For (The Vulture Song)	https://www.allmusicals.com/lyrics/junglebook/thatswhatfriendsareforthevulturesong.htm
Tiger Fight	https://www.allmusicals.com/lyrics/junglebook/tigerfight.htm
Poor Bear	https://www.allmusicals.com/lyrics/junglebook/poorbear.htm
My Own Home (The Jungle Book Theme)	https://www.allmusicals.com/lyrics/junglebook/myownhomethejunglebooktheme.htm
The Bare Necessities (Reprise)	https://www.allmusicals.com/lyrics/junglebook/thebarenecessitiesreprise.htm
