song-name	url
Just So	https://www.allmusicals.com/lyrics/justso/justso.htm
Another Tempest	https://www.allmusicals.com/lyrics/justso/anothertempest.htm
There's No Harm In Asking	https://www.allmusicals.com/lyrics/justso/theresnoharminasking.htm
Silly Questions	https://www.allmusicals.com/lyrics/justso/sillyquestions.htm
The Limpopo River	https://www.allmusicals.com/lyrics/justso/thelimpoporiver.htm
Living On This Island	https://www.allmusicals.com/lyrics/justso/livingonthisisland.htm
Thick Skin	https://www.allmusicals.com/lyrics/justso/thickskin.htm
The Parsee Cake Cake Walk	https://www.allmusicals.com/lyrics/justso/theparseecakecakewalk.htm
The Crime	https://www.allmusicals.com/lyrics/justso/thecrime.htm
The Chase	https://www.allmusicals.com/lyrics/justso/thechase.htm
We Want To Take The Ladies Out	https://www.allmusicals.com/lyrics/justso/wewanttotaketheladiesout.htm
Pick Up Your Hooves And Trot	https://www.allmusicals.com/lyrics/justso/pickupyourhoovesandtrot.htm
Jungle Light/Just So (Reprise)	https://www.allmusicals.com/lyrics/justso/junglelightjustsoreprise.htm
The Limpopo River (Reprise)	https://www.allmusicals.com/lyrics/justso/thelimpoporiverreprise.htm
Just So (Reprise)	https://www.allmusicals.com/lyrics/justso/justsoreprise.htm
The Argument	https://www.allmusicals.com/lyrics/justso/theargument.htm
Wait A Bit	https://www.allmusicals.com/lyrics/justso/waitabit.htm
Aboriginally I	https://www.allmusicals.com/lyrics/justso/aboriginallyi.htm
Leaps and Bounds	https://www.allmusicals.com/lyrics/justso/leapsandbounds.htm
Leaps and Bounds (Reprise)	https://www.allmusicals.com/lyrics/justso/leapsandboundsreprise.htm
Does The Moment Ever Come?	https://www.allmusicals.com/lyrics/justso/doesthemomentevercome.htm
Please Don't Touch My Stove	https://www.allmusicals.com/lyrics/justso/pleasedonttouchmystove.htm
Little One Come Hither	https://www.allmusicals.com/lyrics/justso/littleonecomehither.htm
If -The Crab	https://www.allmusicals.com/lyrics/justso/ifthecrab.htm
Finale - Just So (Reprise)	https://www.allmusicals.com/lyrics/justso/finalejustsoreprise.htm
