song-name	url
Skater Planet	https://www.allmusicals.com/lyrics/kimberlyakimbo/skaterplanet.htm
Hello, Darling	https://www.allmusicals.com/lyrics/kimberlyakimbo/hellodarling.htm
Make a Wish	https://www.allmusicals.com/lyrics/kimberlyakimbo/makeawish.htm
Anagram	https://www.allmusicals.com/lyrics/kimberlyakimbo/anagram.htm
Better	https://www.allmusicals.com/lyrics/kimberlyakimbo/better.htm
Hello Darling #2	https://www.allmusicals.com/lyrics/kimberlyakimbo/hellodarling2.htm
Father Time	https://www.allmusicals.com/lyrics/kimberlyakimbo/fathertime.htm
Happy for Her	https://www.allmusicals.com/lyrics/kimberlyakimbo/happyforher.htm
This Time	https://www.allmusicals.com/lyrics/kimberlyakimbo/thistime.htm
How to Wash a Check	https://www.allmusicals.com/lyrics/kimberlyakimbo/howtowashacheck.htm
Good Kid	https://www.allmusicals.com/lyrics/kimberlyakimbo/goodkid.htm
Hello, Baby	https://www.allmusicals.com/lyrics/kimberlyakimbo/hellobaby.htm
Skater Planet (Reprise)	https://www.allmusicals.com/lyrics/kimberlyakimbo/skaterplanetreprise.htm
Our Disease	https://www.allmusicals.com/lyrics/kimberlyakimbo/ourdisease.htm
The Inevitable Turn	https://www.allmusicals.com/lyrics/kimberlyakimbo/theinevitableturn.htm
Now	https://www.allmusicals.com/lyrics/kimberlyakimbo/now.htm
How to Wash a Check (Reprise)	https://www.allmusicals.com/lyrics/kimberlyakimbo/howtowashacheckreprise.htm
Before I Go	https://www.allmusicals.com/lyrics/kimberlyakimbo/beforeigo.htm
Great Adventure	https://www.allmusicals.com/lyrics/kimberlyakimbo/greatadventure.htm
