song-name	url
Overture	https://www.allmusicals.com/lyrics/kingandithe/overture.htm
I Whistle a Happy Tune	https://www.allmusicals.com/lyrics/kingandithe/iwhistleahappytune.htm
My Lord and Master	https://www.allmusicals.com/lyrics/kingandithe/mylordandmaster.htm
March of the Siamese Children	https://www.allmusicals.com/lyrics/kingandithe/marchofthesiamesechildren.htm
Hello, Young Lovers	https://www.allmusicals.com/lyrics/kingandithe/helloyounglovers.htm
Puzzlement	https://www.allmusicals.com/lyrics/kingandithe/puzzlement.htm
Getting to Know You	https://www.allmusicals.com/lyrics/kingandithe/gettingtoknowyou.htm
Garden Rendezvous	https://www.allmusicals.com/lyrics/kingandithe/gardenrendezvous.htm
We Kiss in a Shadow	https://www.allmusicals.com/lyrics/kingandithe/wekissinashadow.htm
I Have Dreamed	https://www.allmusicals.com/lyrics/kingandithe/ihavedreamed.htm
Shall I Tell You What I Think of You?	https://www.allmusicals.com/lyrics/kingandithe/shallitellyouwhatithinkofyou.htm
Something Wonderful	https://www.allmusicals.com/lyrics/kingandithe/somethingwonderful.htm
Temple Scene	https://www.allmusicals.com/lyrics/kingandithe/templescene.htm
Banquet Scene	https://www.allmusicals.com/lyrics/kingandithe/banquetscene.htm
Western People Funny	https://www.allmusicals.com/lyrics/kingandithe/westernpeoplefunny.htm
Song of the King	https://www.allmusicals.com/lyrics/kingandithe/songoftheking.htm
Shall We Dance?	https://www.allmusicals.com/lyrics/kingandithe/shallwedance.htm
I Whistle a Happy Tune (Reprise)	https://www.allmusicals.com/lyrics/kingandithe/iwhistleahappytunereprise.htm
Finale	https://www.allmusicals.com/lyrics/kingandithe/finale.htm
