song-name	url
Price and Son Theme / The Most Beautiful Thing in the World	https://www.allmusicals.com/lyrics/kinkyboots/priceandsonthemethemostbeautifulthingintheworld.htm
Take What You Got	https://www.allmusicals.com/lyrics/kinkyboots/takewhatyougot.htm
Land of Lola	https://www.allmusicals.com/lyrics/kinkyboots/landoflola.htm
Charlie's Soliloquy	https://www.allmusicals.com/lyrics/kinkyboots/charliessoliloquy.htm
Step One	https://www.allmusicals.com/lyrics/kinkyboots/stepone.htm
Sex Is In The Heel	https://www.allmusicals.com/lyrics/kinkyboots/sexisintheheel.htm
The History of Wrong Guys	https://www.allmusicals.com/lyrics/kinkyboots/thehistoryofwrongguys.htm
Not My Father's Son	https://www.allmusicals.com/lyrics/kinkyboots/notmyfathersson.htm
Everybody Say Yeah	https://www.allmusicals.com/lyrics/kinkyboots/everybodysayyeah.htm
What A Woman Wants	https://www.allmusicals.com/lyrics/kinkyboots/whatawomanwants.htm
In This Corner	https://www.allmusicals.com/lyrics/kinkyboots/inthiscorner.htm
Charlie's Soliloquy (Reprise)	https://www.allmusicals.com/lyrics/kinkyboots/charliessoliloquyreprise.htm
Soul of a Man	https://www.allmusicals.com/lyrics/kinkyboots/soulofaman.htm
Hold Me in Your Heart	https://www.allmusicals.com/lyrics/kinkyboots/holdmeinyourheart.htm
Raise You Up / Just Be	https://www.allmusicals.com/lyrics/kinkyboots/raiseyouupjustbe.htm
