song-name	url
Overture, Sands Of Time	https://www.allmusicals.com/lyrics/kismet/overturesandsoftime.htm
Rhymes Have I	https://www.allmusicals.com/lyrics/kismet/rhymeshavei.htm
Fate	https://www.allmusicals.com/lyrics/kismet/fate.htm
Bazaar of The Caravans	https://www.allmusicals.com/lyrics/kismet/bazaarofthecaravans.htm
Not Since Nineveh	https://www.allmusicals.com/lyrics/kismet/notsincenineveh.htm
Baubles, Bangles And Beads	https://www.allmusicals.com/lyrics/kismet/baublesbanglesandbeads.htm
Stranger In Paradise	https://www.allmusicals.com/lyrics/kismet/strangerinparadise.htm
He's In Love!	https://www.allmusicals.com/lyrics/kismet/hesinlove.htm
Gesticulate	https://www.allmusicals.com/lyrics/kismet/gesticulate.htm
Night Of My Nights	https://www.allmusicals.com/lyrics/kismet/nightofmynights.htm
Was I Wazir?	https://www.allmusicals.com/lyrics/kismet/wasiwazir.htm
Rahadlakum	https://www.allmusicals.com/lyrics/kismet/rahadlakum.htm
And This Is My Beloved	https://www.allmusicals.com/lyrics/kismet/andthisismybeloved.htm
The Olive Tree	https://www.allmusicals.com/lyrics/kismet/theolivetree.htm
Zubbediya, Samahris' Dance	https://www.allmusicals.com/lyrics/kismet/zubbediyasamahrisdance.htm
Was I Wazir?	https://www.allmusicals.com/lyrics/kismet/wasiwazir.htm
