song-name	url
Another Op'nin', Another Show	https://www.allmusicals.com/lyrics/kissmekate/anotheropninanothershow.htm
Why Can't You Behave?	https://www.allmusicals.com/lyrics/kissmekate/whycantyoubehave.htm
Wunderbar	https://www.allmusicals.com/lyrics/kissmekate/wunderbar.htm
So in Love	https://www.allmusicals.com/lyrics/kissmekate/soinlove.htm
We Open in Venice	https://www.allmusicals.com/lyrics/kissmekate/weopeninvenice.htm
Tom, Dick, or Harry	https://www.allmusicals.com/lyrics/kissmekate/tomdickorharry.htm
I've Come to Wive It Wealthily in Padua	https://www.allmusicals.com/lyrics/kissmekate/ivecometowiveitwealthilyinpadua.htm
I Hate Men	https://www.allmusicals.com/lyrics/kissmekate/ihatemen.htm
Were Thine That Special Face	https://www.allmusicals.com/lyrics/kissmekate/werethinethatspecialface.htm
Cantiamo d'Amore (We Sing of Love)	https://www.allmusicals.com/lyrics/kissmekate/cantiamodamorewesingoflove.htm
Kiss Me, Kate	https://www.allmusicals.com/lyrics/kissmekate/kissmekate.htm
Too Darn Hot	https://www.allmusicals.com/lyrics/kissmekate/toodarnhot.htm
Where Is the Life That Late I Led?	https://www.allmusicals.com/lyrics/kissmekate/whereisthelifethatlateiled.htm
Always True to You (In My Fashion)	https://www.allmusicals.com/lyrics/kissmekate/alwaystruetoyouinmyfashion.htm
From This Moment On	https://www.allmusicals.com/lyrics/kissmekate/fromthismomenton.htm
Bianca	https://www.allmusicals.com/lyrics/kissmekate/bianca.htm
So in Love (Reprise)	https://www.allmusicals.com/lyrics/kissmekate/soinlovereprise.htm
Brush up Your Shakespeare	https://www.allmusicals.com/lyrics/kissmekate/brushupyourshakespeare.htm
I Am Ashamed That Women Are So Simple	https://www.allmusicals.com/lyrics/kissmekate/iamashamedthatwomenaresosimple.htm
Kiss Me, Kate (Finale)	https://www.allmusicals.com/lyrics/kissmekate/kissmekatefinale.htm
