song-name	url
Prologue	https://www.allmusicals.com/lyrics/kissofthespiderwoman/prologue.htm
The Prison Cell	https://www.allmusicals.com/lyrics/kissofthespiderwoman/theprisoncell.htm
Her Name Is Aurora	https://www.allmusicals.com/lyrics/kissofthespiderwoman/hernameisaurora.htm
The Prison Cell II	https://www.allmusicals.com/lyrics/kissofthespiderwoman/theprisoncellii.htm
Over The Wall I	https://www.allmusicals.com/lyrics/kissofthespiderwoman/overthewalli.htm
And The Moon Grows Dimmer	https://www.allmusicals.com/lyrics/kissofthespiderwoman/andthemoongrowsdimmer.htm
Bluebloods	https://www.allmusicals.com/lyrics/kissofthespiderwoman/bluebloods.htm
Dressing Them Up	https://www.allmusicals.com/lyrics/kissofthespiderwoman/dressingthemup.htm
I Draw The Line	https://www.allmusicals.com/lyrics/kissofthespiderwoman/idrawtheline.htm
The Prison Cell III	https://www.allmusicals.com/lyrics/kissofthespiderwoman/theprisoncelliii.htm
Dear One	https://www.allmusicals.com/lyrics/kissofthespiderwoman/dearone.htm
Over The Wall II	https://www.allmusicals.com/lyrics/kissofthespiderwoman/overthewallii.htm
Where You Are	https://www.allmusicals.com/lyrics/kissofthespiderwoman/whereyouare.htm
Marta	https://www.allmusicals.com/lyrics/kissofthespiderwoman/marta.htm
I Do Miracles	https://www.allmusicals.com/lyrics/kissofthespiderwoman/idomiracles.htm
Gabriel's Letter/ My First Woman	https://www.allmusicals.com/lyrics/kissofthespiderwoman/gabrielslettermyfirstwoman.htm
Morphine Tango	https://www.allmusicals.com/lyrics/kissofthespiderwoman/morphinetango.htm
You Could Never Shame Me	https://www.allmusicals.com/lyrics/kissofthespiderwoman/youcouldnevershameme.htm
A Visit	https://www.allmusicals.com/lyrics/kissofthespiderwoman/avisit.htm
She's A Woman	https://www.allmusicals.com/lyrics/kissofthespiderwoman/shesawoman.htm
Gimme Love	https://www.allmusicals.com/lyrics/kissofthespiderwoman/gimmelove.htm
Russian Movie/Good Times	https://www.allmusicals.com/lyrics/kissofthespiderwoman/russianmoviegoodtimes.htm
The Day After That	https://www.allmusicals.com/lyrics/kissofthespiderwoman/thedayafterthat.htm
Mama, It's Me	https://www.allmusicals.com/lyrics/kissofthespiderwoman/mamaitsme.htm
Anything For Him	https://www.allmusicals.com/lyrics/kissofthespiderwoman/anythingforhim.htm
Kiss Of The Spider Woman	https://www.allmusicals.com/lyrics/kissofthespiderwoman/kissofthespiderwoman.htm
The Warden's Office	https://www.allmusicals.com/lyrics/kissofthespiderwoman/thewardensoffice.htm
Lucky Molina, Over The Wall	https://www.allmusicals.com/lyrics/kissofthespiderwoman/luckymolinaoverthewall.htm
Only In The Movies	https://www.allmusicals.com/lyrics/kissofthespiderwoman/onlyinthemovies.htm
