song-name	url
Still Hurting	https://www.allmusicals.com/lyrics/last5yearsthe/stillhurting.htm
Shiksa Goddess	https://www.allmusicals.com/lyrics/last5yearsthe/shiksagoddess.htm
See I'm Smiling	https://www.allmusicals.com/lyrics/last5yearsthe/seeimsmiling.htm
Moving Too Fast	https://www.allmusicals.com/lyrics/last5yearsthe/movingtoofast.htm
A Part of That	https://www.allmusicals.com/lyrics/last5yearsthe/apartofthat.htm
The Schmuel Song	https://www.allmusicals.com/lyrics/last5yearsthe/theschmuelsong.htm
A Summer in Ohio	https://www.allmusicals.com/lyrics/last5yearsthe/asummerinohio.htm
The Next Ten Minutes	https://www.allmusicals.com/lyrics/last5yearsthe/thenexttenminutes.htm
A Miracle Would Happen/When You Come Home to Me	https://www.allmusicals.com/lyrics/last5yearsthe/amiraclewouldhappenwhenyoucomehometome.htm
Climbing Uphill	https://www.allmusicals.com/lyrics/last5yearsthe/climbinguphill.htm
If I Didn't Believe in You	https://www.allmusicals.com/lyrics/last5yearsthe/ifididntbelieveinyou.htm
I Can Do Better Than That	https://www.allmusicals.com/lyrics/last5yearsthe/icandobetterthanthat.htm
Nobody Needs to Know	https://www.allmusicals.com/lyrics/last5yearsthe/nobodyneedstoknow.htm
Goodbye Until Tomorrow/I Could Never Rescue You	https://www.allmusicals.com/lyrics/last5yearsthe/goodbyeuntiltomorrowicouldneverrescueyou.htm
