song-name	url
Be My Baby	https://www.allmusicals.com/lyrics/leaderofthepack/bemybaby.htm
Wait 'til My Bobby Gets Home	https://www.allmusicals.com/lyrics/leaderofthepack/waittilmybobbygetshome.htm
A . . . My Name Is Ellie	https://www.allmusicals.com/lyrics/leaderofthepack/amynameisellie.htm
Jivette Boogie Beat	https://www.allmusicals.com/lyrics/leaderofthepack/jivetteboogiebeat.htm
Why Do Lovers Break Each Other's Hearts	https://www.allmusicals.com/lyrics/leaderofthepack/whydoloversbreakeachothershearts.htm
Today I Met the Boy I'm Gonna Marry	https://www.allmusicals.com/lyrics/leaderofthepack/todayimettheboyimgonnamarry.htm
I Wanna Love Him So Bad/Do Wah Diddy	https://www.allmusicals.com/lyrics/leaderofthepack/iwannalovehimsobaddowahdiddy.htm
And Then He Kissed Me	https://www.allmusicals.com/lyrics/leaderofthepack/andthenhekissedme.htm
Hanky Panky	https://www.allmusicals.com/lyrics/leaderofthepack/hankypanky.htm
Not Too Young To Get Married	https://www.allmusicals.com/lyrics/leaderofthepack/nottooyoungtogetmarried.htm
Chapel Of Love	https://www.allmusicals.com/lyrics/leaderofthepack/chapeloflove.htm
Baby I Love You	https://www.allmusicals.com/lyrics/leaderofthepack/babyiloveyou.htm
Leader of the Pack	https://www.allmusicals.com/lyrics/leaderofthepack/leaderofthepack.htm
Look of Love	https://www.allmusicals.com/lyrics/leaderofthepack/lookoflove.htm
Christmas (Baby Please Come Home)	https://www.allmusicals.com/lyrics/leaderofthepack/christmasbabypleasecomehome.htm
I Can Hear Music	https://www.allmusicals.com/lyrics/leaderofthepack/icanhearmusic.htm
Rock of Rages	https://www.allmusicals.com/lyrics/leaderofthepack/rockofrages.htm
Keep It Confidential	https://www.allmusicals.com/lyrics/leaderofthepack/keepitconfidential.htm
Da Doo Ron Ron	https://www.allmusicals.com/lyrics/leaderofthepack/dadooronron.htm
What a Guy	https://www.allmusicals.com/lyrics/leaderofthepack/whataguy.htm
Maybe I Know	https://www.allmusicals.com/lyrics/leaderofthepack/maybeiknow.htm
River Deep, Mountain High	https://www.allmusicals.com/lyrics/leaderofthepack/riverdeepmountainhigh.htm
