song-name	url
Omigod You Guys	https://www.allmusicals.com/lyrics/legallyblonde/omigodyouguys.htm
Serious	https://www.allmusicals.com/lyrics/legallyblonde/serious.htm
Daughter of Delta Nu	https://www.allmusicals.com/lyrics/legallyblonde/daughterofdeltanu.htm
What You Want	https://www.allmusicals.com/lyrics/legallyblonde/whatyouwant.htm
The Harvard Variations	https://www.allmusicals.com/lyrics/legallyblonde/theharvardvariations.htm
Blood in the Water	https://www.allmusicals.com/lyrics/legallyblonde/bloodinthewater.htm
Positive	https://www.allmusicals.com/lyrics/legallyblonde/positive.htm
Ireland	https://www.allmusicals.com/lyrics/legallyblonde/ireland.htm
Ireland (Reprise)	https://www.allmusicals.com/lyrics/legallyblonde/irelandreprise.htm
Serious (Reprise)	https://www.allmusicals.com/lyrics/legallyblonde/seriousreprise.htm
Chip On My Shoulder	https://www.allmusicals.com/lyrics/legallyblonde/chiponmyshoulder.htm
So Much Better	https://www.allmusicals.com/lyrics/legallyblonde/somuchbetter.htm
Whipped Into Shape	https://www.allmusicals.com/lyrics/legallyblonde/whippedintoshape.htm
Take It Like A Man	https://www.allmusicals.com/lyrics/legallyblonde/takeitlikeaman.htm
Bend and Snap	https://www.allmusicals.com/lyrics/legallyblonde/bendandsnap.htm
There! Right There!	https://www.allmusicals.com/lyrics/legallyblonde/thererightthere.htm
Legally Blonde	https://www.allmusicals.com/lyrics/legallyblonde/legallyblonde.htm
Legally Blonde Remix	https://www.allmusicals.com/lyrics/legallyblonde/legallyblonderemix.htm
Omigod You Guys (Reprise)	https://www.allmusicals.com/lyrics/legallyblonde/omigodyouguysreprise.htm
Find My Way	https://www.allmusicals.com/lyrics/legallyblonde/findmyway.htm
