song-name	url
Prologue: Work Song	https://www.allmusicals.com/lyrics/lesmiserables/prologueworksong.htm
Prologue: Valijean Arrested/Valijean Forgiven	https://www.allmusicals.com/lyrics/lesmiserables/prologuevalijeanarrestedvalijeanforgiven.htm
Prologue: What Have I Done?	https://www.allmusicals.com/lyrics/lesmiserables/prologuewhathaveidone.htm
At The End Of The Day	https://www.allmusicals.com/lyrics/lesmiserables/attheendoftheday.htm
I Dreamed A Dream	https://www.allmusicals.com/lyrics/lesmiserables/idreamedadream.htm
Lovely Ladies	https://www.allmusicals.com/lyrics/lesmiserables/lovelyladies.htm
Who Am I?	https://www.allmusicals.com/lyrics/lesmiserables/whoami.htm
Fantine's Death: Come To Me	https://www.allmusicals.com/lyrics/lesmiserables/fantinesdeathcometome.htm
Confrontation	https://www.allmusicals.com/lyrics/lesmiserables/confrontation.htm
Castle On A Cloud	https://www.allmusicals.com/lyrics/lesmiserables/castleonacloud.htm
Master Of The House	https://www.allmusicals.com/lyrics/lesmiserables/masterofthehouse.htm
Thenardier Waltz	https://www.allmusicals.com/lyrics/lesmiserables/thenardierwaltz.htm
Look Down	https://www.allmusicals.com/lyrics/lesmiserables/lookdown.htm
Stars	https://www.allmusicals.com/lyrics/lesmiserables/stars.htm
Red & Black	https://www.allmusicals.com/lyrics/lesmiserables/redblack.htm
Do You Hear The People Sing?	https://www.allmusicals.com/lyrics/lesmiserables/doyouhearthepeoplesing.htm
In My Life	https://www.allmusicals.com/lyrics/lesmiserables/inmylife.htm
A Heart Full of Love	https://www.allmusicals.com/lyrics/lesmiserables/aheartfulloflove.htm
Plumet Attack	https://www.allmusicals.com/lyrics/lesmiserables/plumetattack.htm
One Day More!	https://www.allmusicals.com/lyrics/lesmiserables/onedaymore.htm
Building The Barricade	https://www.allmusicals.com/lyrics/lesmiserables/buildingthebarricade.htm
On My Own	https://www.allmusicals.com/lyrics/lesmiserables/onmyown.htm
At The Barricade	https://www.allmusicals.com/lyrics/lesmiserables/atthebarricade.htm
Javert At The Barricade	https://www.allmusicals.com/lyrics/lesmiserables/javertatthebarricade.htm
A Little Fall Of Rain	https://www.allmusicals.com/lyrics/lesmiserables/alittlefallofrain.htm
Drink With Me	https://www.allmusicals.com/lyrics/lesmiserables/drinkwithme.htm
Bring Him Home	https://www.allmusicals.com/lyrics/lesmiserables/bringhimhome.htm
Dog Eat Dog	https://www.allmusicals.com/lyrics/lesmiserables/dogeatdog.htm
Javert's Suicide	https://www.allmusicals.com/lyrics/lesmiserables/javertssuicide.htm
Turning	https://www.allmusicals.com/lyrics/lesmiserables/turning.htm
Empty Chairs At Empty Tables	https://www.allmusicals.com/lyrics/lesmiserables/emptychairsatemptytables.htm
Wedding Chorale/Beggars at the Feast	https://www.allmusicals.com/lyrics/lesmiserables/weddingchoralebeggarsatthefeast.htm
Finale	https://www.allmusicals.com/lyrics/lesmiserables/finale.htm
