song-name	url
From the Dead	https://www.allmusicals.com/lyrics/lestat/fromthedead.htm
Beautiful Boy	https://www.allmusicals.com/lyrics/lestat/beautifulboy.htm
In Paris	https://www.allmusicals.com/lyrics/lestat/inparis.htm
The Thirst	https://www.allmusicals.com/lyrics/lestat/thethirst.htm
Right Before My Eyes	https://www.allmusicals.com/lyrics/lestat/rightbeforemyeyes.htm
Make Me As You Are	https://www.allmusicals.com/lyrics/lestat/makemeasyouare.htm
To Live Like This	https://www.allmusicals.com/lyrics/lestat/tolivelikethis.htm
The Crimson Kiss	https://www.allmusicals.com/lyrics/lestat/thecrimsonkiss.htm
Right Before My Eyes (reprise)	https://www.allmusicals.com/lyrics/lestat/rightbeforemyeyesreprise.htm
Welcome to the New World	https://www.allmusicals.com/lyrics/lestat/welcometothenewworld.htm
Embrace It	https://www.allmusicals.com/lyrics/lestat/embraceit.htm
I Want More	https://www.allmusicals.com/lyrics/lestat/iwantmore.htm
I'll Never Have That Chance	https://www.allmusicals.com/lyrics/lestat/illneverhavethatchance.htm
Sail Me Away	https://www.allmusicals.com/lyrics/lestat/sailmeaway.htm
To Kill Your Kind	https://www.allmusicals.com/lyrics/lestat/tokillyourkind.htm
Embrace It (Reprise)	https://www.allmusicals.com/lyrics/lestat/embraceitreprise.htm
After All This Time	https://www.allmusicals.com/lyrics/lestat/afterallthistime.htm
Finale	https://www.allmusicals.com/lyrics/lestat/finale.htm
