song-name	url
Overture	https://www.allmusicals.com/lyrics/lilabner/overture.htm
It's A Typical Day	https://www.allmusicals.com/lyrics/lilabner/itsatypicalday.htm
If I Had My Druthers	https://www.allmusicals.com/lyrics/lilabner/ifihadmydruthers.htm
Jubilation T. Cornpone	https://www.allmusicals.com/lyrics/lilabner/jubilationtcornpone.htm
Rag Offen The Bush	https://www.allmusicals.com/lyrics/lilabner/ragoffenthebush.htm
Namely You	https://www.allmusicals.com/lyrics/lilabner/namelyyou.htm
Unnecessary Town	https://www.allmusicals.com/lyrics/lilabner/unnecessarytown.htm
What's Good For General Bullmoose	https://www.allmusicals.com/lyrics/lilabner/whatsgoodforgeneralbullmoose.htm
The Country's In The Very Best Of Hands	https://www.allmusicals.com/lyrics/lilabner/thecountrysintheverybestofhands.htm
Sadie Hawkins Day (Ballet)	https://www.allmusicals.com/lyrics/lilabner/sadiehawkinsdayballet.htm
Oh, Happy Day	https://www.allmusicals.com/lyrics/lilabner/ohhappyday.htm
I'm Past My Prime	https://www.allmusicals.com/lyrics/lilabner/impastmyprime.htm
Love In A Home	https://www.allmusicals.com/lyrics/lilabner/loveinahome.htm
Progress Is The Root Of All Evil	https://www.allmusicals.com/lyrics/lilabner/progressistherootofallevil.htm
Put 'Em Back	https://www.allmusicals.com/lyrics/lilabner/putemback.htm
The Matrimonial Stomp	https://www.allmusicals.com/lyrics/lilabner/thematrimonialstomp.htm
