song-name	url
Overture	https://www.allmusicals.com/lyrics/littleme/overture.htm
Little Me	https://www.allmusicals.com/lyrics/littleme/littleme.htm
The Other Side Of The Tracks	https://www.allmusicals.com/lyrics/littleme/theothersideofthetracks.htm
The Other Side Of The Tracks (Reprise)	https://www.allmusicals.com/lyrics/littleme/theothersideofthetracksreprise.htm
I Love You	https://www.allmusicals.com/lyrics/littleme/iloveyou.htm
Deep Down Inside	https://www.allmusicals.com/lyrics/littleme/deepdowninside.htm
Be A Performer	https://www.allmusicals.com/lyrics/littleme/beaperformer.htm
Dimples	https://www.allmusicals.com/lyrics/littleme/dimples.htm
Boom, Boom	https://www.allmusicals.com/lyrics/littleme/boomboom.htm
I've Got Your Number	https://www.allmusicals.com/lyrics/littleme/ivegotyournumber.htm
Real Live Girl	https://www.allmusicals.com/lyrics/littleme/reallivegirl.htm
I Love Sinking With You	https://www.allmusicals.com/lyrics/littleme/ilovesinkingwithyou.htm
Poor Little Hollywood Star	https://www.allmusicals.com/lyrics/littleme/poorlittlehollywoodstar.htm
Goodbye	https://www.allmusicals.com/lyrics/littleme/goodbye.htm
Here's To Us	https://www.allmusicals.com/lyrics/littleme/herestous.htm
