song-name	url
Overture	https://www.allmusicals.com/lyrics/littlemermaid/overture.htm
Fathoms Below	https://www.allmusicals.com/lyrics/littlemermaid/fathomsbelow.htm
Daughters of Triton	https://www.allmusicals.com/lyrics/littlemermaid/daughtersoftriton.htm
The World Above	https://www.allmusicals.com/lyrics/littlemermaid/theworldabove.htm
Human Stuff	https://www.allmusicals.com/lyrics/littlemermaid/humanstuff.htm
I Want the Good Times Back	https://www.allmusicals.com/lyrics/littlemermaid/iwantthegoodtimesback.htm
Part of Your World	https://www.allmusicals.com/lyrics/littlemermaid/partofyourworld.htm
Storm at Sea	https://www.allmusicals.com/lyrics/littlemermaid/stormatsea.htm
Part of Your World (Reprise)	https://www.allmusicals.com/lyrics/littlemermaid/partofyourworldreprise.htm
She's in Love	https://www.allmusicals.com/lyrics/littlemermaid/shesinlove.htm
Her Voice	https://www.allmusicals.com/lyrics/littlemermaid/hervoice.htm
The World Above (Triton Reprise)	https://www.allmusicals.com/lyrics/littlemermaid/theworldabovetritonreprise.htm
Under the Sea	https://www.allmusicals.com/lyrics/littlemermaid/underthesea.htm
Under the Sea (Reprise)	https://www.allmusicals.com/lyrics/littlemermaid/undertheseareprise.htm
Sweet Child	https://www.allmusicals.com/lyrics/littlemermaid/sweetchild.htm
Poor Unfortunate Souls	https://www.allmusicals.com/lyrics/littlemermaid/poorunfortunatesouls.htm
Positoovity	https://www.allmusicals.com/lyrics/littlemermaid/positoovity.htm
Beyond My Wildest Dreams	https://www.allmusicals.com/lyrics/littlemermaid/beyondmywildestdreams.htm
Les Poissons	https://www.allmusicals.com/lyrics/littlemermaid/lespoissons.htm
Les Poissons (Reprise)	https://www.allmusicals.com/lyrics/littlemermaid/lespoissonsreprise.htm
One Step Closer	https://www.allmusicals.com/lyrics/littlemermaid/onestepcloser.htm
I Want The Good Times Back (Reprise)	https://www.allmusicals.com/lyrics/littlemermaid/iwantthegoodtimesbackreprise.htm
Kiss The Girl	https://www.allmusicals.com/lyrics/littlemermaid/kissthegirl.htm
Sweet Child (Reprise)	https://www.allmusicals.com/lyrics/littlemermaid/sweetchildreprise.htm
If Only (Quartet)	https://www.allmusicals.com/lyrics/littlemermaid/ifonlyquartet.htm
The Contest	https://www.allmusicals.com/lyrics/littlemermaid/thecontest.htm
Poor Unfortunate Souls (Reprise)	https://www.allmusicals.com/lyrics/littlemermaid/poorunfortunatesoulsreprise.htm
If Only (Reprise)	https://www.allmusicals.com/lyrics/littlemermaid/ifonlyreprise.htm
Finale	https://www.allmusicals.com/lyrics/littlemermaid/finale.htm
