song-name	url
Overture / Night Waltz	https://www.allmusicals.com/lyrics/littlenightmusic/overturenightwaltz.htm
Now	https://www.allmusicals.com/lyrics/littlenightmusic/now.htm
Later	https://www.allmusicals.com/lyrics/littlenightmusic/later.htm
Soon	https://www.allmusicals.com/lyrics/littlenightmusic/soon.htm
The Glamorous Life	https://www.allmusicals.com/lyrics/littlenightmusic/theglamorouslife.htm
Remember?	https://www.allmusicals.com/lyrics/littlenightmusic/remember.htm
You Must Meet My Wife	https://www.allmusicals.com/lyrics/littlenightmusic/youmustmeetmywife.htm
Liaisons	https://www.allmusicals.com/lyrics/littlenightmusic/liaisons.htm
In Praise Of Women	https://www.allmusicals.com/lyrics/littlenightmusic/inpraiseofwomen.htm
Every Day A Little Death	https://www.allmusicals.com/lyrics/littlenightmusic/everydayalittledeath.htm
A Weekend In The Country	https://www.allmusicals.com/lyrics/littlenightmusic/aweekendinthecountry.htm
Night Waltz I-The Sun Won't Set	https://www.allmusicals.com/lyrics/littlenightmusic/nightwaltzithesunwontset.htm
Night Waltz ll-The Sun Sits Low	https://www.allmusicals.com/lyrics/littlenightmusic/nightwaltzllthesunsitslow.htm
It Would Have Been Wonderful	https://www.allmusicals.com/lyrics/littlenightmusic/itwouldhavebeenwonderful.htm
Perpetual Anticipation	https://www.allmusicals.com/lyrics/littlenightmusic/perpetualanticipation.htm
Send In The Clowns	https://www.allmusicals.com/lyrics/littlenightmusic/sendintheclowns.htm
The Miller's Son	https://www.allmusicals.com/lyrics/littlenightmusic/themillersson.htm
Finale	https://www.allmusicals.com/lyrics/littlenightmusic/finale.htm
