song-name	url
Teach Me Tonight	https://www.allmusicals.com/lyrics/lizasatthepalace/teachmetonight.htm
I Would Never Leave You	https://www.allmusicals.com/lyrics/lizasatthepalace/iwouldneverleaveyou.htm
If You Hadn't, But You Did	https://www.allmusicals.com/lyrics/lizasatthepalace/ifyouhadntbutyoudid.htm
What Makes A Man A Man?	https://www.allmusicals.com/lyrics/lizasatthepalace/whatmakesamanaman.htm
My Own Best Friend	https://www.allmusicals.com/lyrics/lizasatthepalace/myownbestfriend.htm
Maybe This Time	https://www.allmusicals.com/lyrics/lizasatthepalace/maybethistime.htm
He's Funny That Way	https://www.allmusicals.com/lyrics/lizasatthepalace/hesfunnythatway.htm
Cabaret	https://www.allmusicals.com/lyrics/lizasatthepalace/cabaret.htm
But The World Goes 'Round	https://www.allmusicals.com/lyrics/lizasatthepalace/buttheworldgoesround.htm
Liza (All The Clouds'll Roll Away)	https://www.allmusicals.com/lyrics/lizasatthepalace/lizaallthecloudsllrollaway.htm
Mammy	https://www.allmusicals.com/lyrics/lizasatthepalace/mammy.htm
New York, New York	https://www.allmusicals.com/lyrics/lizasatthepalace/newyorknewyork.htm
I'll Be Seeing You	https://www.allmusicals.com/lyrics/lizasatthepalace/illbeseeingyou.htm
