song-name	url
Prologue ('Lasto I Lamath')	https://www.allmusicals.com/lyrics/lordoftherings/prologuelastoilamath.htm
Springle Ring	https://www.allmusicals.com/lyrics/lordoftherings/springlering.htm
The Road Goes On	https://www.allmusicals.com/lyrics/lordoftherings/theroadgoeson.htm
Saruman	https://www.allmusicals.com/lyrics/lordoftherings/saruman.htm
The Cat And The Moon	https://www.allmusicals.com/lyrics/lordoftherings/thecatandthemoon.htm
Flight To The Ford	https://www.allmusicals.com/lyrics/lordoftherings/flighttotheford.htm
The Song Of Hope	https://www.allmusicals.com/lyrics/lordoftherings/thesongofhope.htm
Star Of Ea'rendil	https://www.allmusicals.com/lyrics/lordoftherings/starofearendil.htm
Lament For Moria	https://www.allmusicals.com/lyrics/lordoftherings/lamentformoria.htm
The Golden Wood	https://www.allmusicals.com/lyrics/lordoftherings/thegoldenwood.htm
Lothlorien	https://www.allmusicals.com/lyrics/lordoftherings/lothlorien.htm
The Siege Of The City Of Kings	https://www.allmusicals.com/lyrics/lordoftherings/thesiegeofthecityofkings.htm
Now And For Always	https://www.allmusicals.com/lyrics/lordoftherings/nowandforalways.htm
Gollum/Sme'agol	https://www.allmusicals.com/lyrics/lordoftherings/gollumsmeagol.htm
The Song Of Hope (Duet)	https://www.allmusicals.com/lyrics/lordoftherings/thesongofhopeduet.htm
Wonder	https://www.allmusicals.com/lyrics/lordoftherings/wonder.htm
The Final Battle	https://www.allmusicals.com/lyrics/lordoftherings/thefinalbattle.htm
City of Kings	https://www.allmusicals.com/lyrics/lordoftherings/cityofkings.htm
Epilogue (Farewells)	https://www.allmusicals.com/lyrics/lordoftherings/epiloguefarewells.htm
Finale	https://www.allmusicals.com/lyrics/lordoftherings/finale.htm
