song-name	url
Speak Low	https://www.allmusicals.com/lyrics/lovemusik/speaklow.htm
Nanna's Lied	https://www.allmusicals.com/lyrics/lovemusik/nannaslied.htm
Kiddush	https://www.allmusicals.com/lyrics/lovemusik/kiddush.htm
Klops Lied (Meatball Song)	https://www.allmusicals.com/lyrics/lovemusik/klopsliedmeatballsong.htm
Berlin Im Licht	https://www.allmusicals.com/lyrics/lovemusik/berlinimlicht.htm
Tango Ballad	https://www.allmusicals.com/lyrics/lovemusik/tangoballad.htm
Alabama Song	https://www.allmusicals.com/lyrics/lovemusik/alabamasong.htm
Surabaya Johnny	https://www.allmusicals.com/lyrics/lovemusik/surabayajohnny.htm
Youkali	https://www.allmusicals.com/lyrics/lovemusik/youkali.htm
Buddy On The Night Shift	https://www.allmusicals.com/lyrics/lovemusik/buddyonthenightshift.htm
That's Him	https://www.allmusicals.com/lyrics/lovemusik/thatshim.htm
It Never Was You	https://www.allmusicals.com/lyrics/lovemusik/itneverwasyou.htm
September Song	https://www.allmusicals.com/lyrics/lovemusik/septembersong.htm
