song-name	url
Something Funny's Going On	https://www.allmusicals.com/lyrics/luckystiff/somethingfunnysgoingon.htm
Mr. Witherspoon's Friday Night	https://www.allmusicals.com/lyrics/luckystiff/mrwitherspoonsfridaynight.htm
Rita's Confession	https://www.allmusicals.com/lyrics/luckystiff/ritasconfession.htm
Good to Be Alive	https://www.allmusicals.com/lyrics/luckystiff/goodtobealive.htm
Lucky	https://www.allmusicals.com/lyrics/luckystiff/lucky.htm
Dogs Versus You	https://www.allmusicals.com/lyrics/luckystiff/dogsversusyou.htm
The Phone Call	https://www.allmusicals.com/lyrics/luckystiff/thephonecall.htm
A Day Around Town	https://www.allmusicals.com/lyrics/luckystiff/adayaroundtown.htm
Monte Carlo!	https://www.allmusicals.com/lyrics/luckystiff/montecarlo.htm
Speaking French	https://www.allmusicals.com/lyrics/luckystiff/speakingfrench.htm
Times Like This	https://www.allmusicals.com/lyrics/luckystiff/timeslikethis.htm
Fancy Meeting You Here	https://www.allmusicals.com/lyrics/luckystiff/fancymeetingyouhere.htm
Act I Finale: Good To Be Alive	https://www.allmusicals.com/lyrics/luckystiff/actifinalegoodtobealive.htm
Something Funny's Going On (Reprise)	https://www.allmusicals.com/lyrics/luckystiff/somethingfunnysgoingonreprise.htm
Him, Them, It, Her	https://www.allmusicals.com/lyrics/luckystiff/himthemither.htm
Nice	https://www.allmusicals.com/lyrics/luckystiff/nice.htm
Welcome Back, Mr. Witherspoon	https://www.allmusicals.com/lyrics/luckystiff/welcomebackmrwitherspoon.htm
A Woman in My Bathroom	https://www.allmusicals.com/lyrics/luckystiff/awomaninmybathroom.htm
Act II Finale: Good To Be Alive	https://www.allmusicals.com/lyrics/luckystiff/actiifinalegoodtobealive.htm
Shoes	https://www.allmusicals.com/lyrics/luckystiff/shoes.htm
