song-name	url
Overture	https://www.allmusicals.com/lyrics/mackmabel/overture.htm
Movies Were Movies	https://www.allmusicals.com/lyrics/mackmabel/moviesweremovies.htm
Look What Happened To Mabel	https://www.allmusicals.com/lyrics/mackmabel/lookwhathappenedtomabel.htm
Big Time	https://www.allmusicals.com/lyrics/mackmabel/bigtime.htm
I Won't Send Roses	https://www.allmusicals.com/lyrics/mackmabel/iwontsendroses.htm
I Wanna Make The World Laugh	https://www.allmusicals.com/lyrics/mackmabel/iwannamaketheworldlaugh.htm
Wherever He Ain't	https://www.allmusicals.com/lyrics/mackmabel/whereverheaint.htm
Hundreds Of Girls	https://www.allmusicals.com/lyrics/mackmabel/hundredsofgirls.htm
When Mabel Comes In The Room	https://www.allmusicals.com/lyrics/mackmabel/whenmabelcomesintheroom.htm
My Heart Leaps Up	https://www.allmusicals.com/lyrics/mackmabel/myheartleapsup.htm
Time Heals Everything	https://www.allmusicals.com/lyrics/mackmabel/timehealseverything.htm
Tap Your Troubles Away	https://www.allmusicals.com/lyrics/mackmabel/tapyourtroublesaway.htm
I Promise You A Happy Ending	https://www.allmusicals.com/lyrics/mackmabel/ipromiseyouahappyending.htm
