song-name	url
St. Bridget	https://www.allmusicals.com/lyrics/mame/stbridget.htm
It's Today	https://www.allmusicals.com/lyrics/mame/itstoday.htm
Open A New Window	https://www.allmusicals.com/lyrics/mame/openanewwindow.htm
The Man In The Moon	https://www.allmusicals.com/lyrics/mame/themaninthemoon.htm
My Best Girl	https://www.allmusicals.com/lyrics/mame/mybestgirl.htm
We Need A Little Christmas	https://www.allmusicals.com/lyrics/mame/weneedalittlechristmas.htm
Mame	https://www.allmusicals.com/lyrics/mame/mame.htm
The Letter	https://www.allmusicals.com/lyrics/mame/theletter.htm
My Best Girl (Reprise)	https://www.allmusicals.com/lyrics/mame/mybestgirlreprise.htm
Bosom Buddies	https://www.allmusicals.com/lyrics/mame/bosombuddies.htm
Gooch's Song	https://www.allmusicals.com/lyrics/mame/goochssong.htm
That's How Young I Feel	https://www.allmusicals.com/lyrics/mame/thatshowyoungifeel.htm
If He Walked Into My Life	https://www.allmusicals.com/lyrics/mame/ifhewalkedintomylife.htm
Finale	https://www.allmusicals.com/lyrics/mame/finale.htm
