song-name	url
Four Jews In A Room Bitching	https://www.allmusicals.com/lyrics/marchofthefalsettos/fourjewsinaroombitching.htm
A Tight-Knit Family	https://www.allmusicals.com/lyrics/marchofthefalsettos/atightknitfamily.htm
Love Is Blind	https://www.allmusicals.com/lyrics/marchofthefalsettos/loveisblind.htm
The Thrill Of First Love	https://www.allmusicals.com/lyrics/marchofthefalsettos/thethrilloffirstlove.htm
Marvin At The Psychiatrist	https://www.allmusicals.com/lyrics/marchofthefalsettos/marvinatthepsychiatrist.htm
My Father's A Homo	https://www.allmusicals.com/lyrics/marchofthefalsettos/myfathersahomo.htm
Everyone Tells Jason To See A Psychiatrist	https://www.allmusicals.com/lyrics/marchofthefalsettos/everyonetellsjasontoseeapsychiatrist.htm
A Marriage Proposal/A Tight-Knit Family (Reprise)	https://www.allmusicals.com/lyrics/marchofthefalsettos/amarriageproposalatightknitfamilyreprise.htm
Trina's Song	https://www.allmusicals.com/lyrics/marchofthefalsettos/trinassong.htm
Making A Home	https://www.allmusicals.com/lyrics/marchofthefalsettos/makingahome.htm
The Games I Play	https://www.allmusicals.com/lyrics/marchofthefalsettos/thegamesiplay.htm
Marvin Hits Trina	https://www.allmusicals.com/lyrics/marchofthefalsettos/marvinhitstrina.htm
I Never Wanted To Love You	https://www.allmusicals.com/lyrics/marchofthefalsettos/ineverwantedtoloveyou.htm
Father To Son	https://www.allmusicals.com/lyrics/marchofthefalsettos/fathertoson.htm
I'm Breaking Down	https://www.allmusicals.com/lyrics/marchofthefalsettos/imbreakingdown.htm
Please Come To My House / Jason's Therapy	https://www.allmusicals.com/lyrics/marchofthefalsettos/pleasecometomyhousejasonstherapy.htm
