song-name	url
Come One, Come All	https://www.allmusicals.com/lyrics/marguerite/comeonecomeall.htm
Let the World Turn	https://www.allmusicals.com/lyrics/marguerite/lettheworldturn.htm
Jazz Time	https://www.allmusicals.com/lyrics/marguerite/jazztime.htm
China Doll	https://www.allmusicals.com/lyrics/marguerite/chinadoll.htm
China Doll (Reprise)	https://www.allmusicals.com/lyrics/marguerite/chinadollreprise.htm
The Face I See	https://www.allmusicals.com/lyrics/marguerite/thefaceisee.htm
Time Was When	https://www.allmusicals.com/lyrics/marguerite/timewaswhen.htm
The World Begins Today	https://www.allmusicals.com/lyrics/marguerite/theworldbeginstoday.htm
Waiting	https://www.allmusicals.com/lyrics/marguerite/waiting.htm
Intoxication	https://www.allmusicals.com/lyrics/marguerite/intoxication.htm
Day by Day (Part One)	https://www.allmusicals.com/lyrics/marguerite/daybydaypartone.htm
I Am Here	https://www.allmusicals.com/lyrics/marguerite/iamhere.htm
What's Left of Love	https://www.allmusicals.com/lyrics/marguerite/whatsleftoflove.htm
How Did I Get to Where I Am?	https://www.allmusicals.com/lyrics/marguerite/howdidigettowhereiam.htm
