song-name	url
Mr. Sandman	https://www.allmusicals.com/lyrics/marvelouswonderettesthe/mrsandman.htm
Lollipop	https://www.allmusicals.com/lyrics/marvelouswonderettesthe/lollipop.htm
Sugartime	https://www.allmusicals.com/lyrics/marvelouswonderettesthe/sugartime.htm
Allegheny Moon	https://www.allmusicals.com/lyrics/marvelouswonderettesthe/alleghenymoon.htm
All I Have to Do Is Dream	https://www.allmusicals.com/lyrics/marvelouswonderettesthe/allihavetodoisdream.htm
Dream Lover	https://www.allmusicals.com/lyrics/marvelouswonderettesthe/dreamlover.htm
Stupid Cupid	https://www.allmusicals.com/lyrics/marvelouswonderettesthe/stupidcupid.htm
Lipstick on Your Collar	https://www.allmusicals.com/lyrics/marvelouswonderettesthe/lipstickonyourcollar.htm
Lucky Lips	https://www.allmusicals.com/lyrics/marvelouswonderettesthe/luckylips.htm
Secret Love	https://www.allmusicals.com/lyrics/marvelouswonderettesthe/secretlove.htm
Mr. Lee	https://www.allmusicals.com/lyrics/marvelouswonderettesthe/mrlee.htm
Born Too Late	https://www.allmusicals.com/lyrics/marvelouswonderettesthe/borntoolate.htm
Teacher's Pet	https://www.allmusicals.com/lyrics/marvelouswonderettesthe/teacherspet.htm
Sincerely	https://www.allmusicals.com/lyrics/marvelouswonderettesthe/sincerely.htm
Goodnight, Sweetheart, Goodnight	https://www.allmusicals.com/lyrics/marvelouswonderettesthe/goodnightsweetheartgoodnight.htm
Hold Me, Thrill Me, Kiss Me	https://www.allmusicals.com/lyrics/marvelouswonderettesthe/holdmethrillmekissme.htm
Heat Wave	https://www.allmusicals.com/lyrics/marvelouswonderettesthe/heatwave.htm
It's in His Kiss	https://www.allmusicals.com/lyrics/marvelouswonderettesthe/itsinhiskiss.htm
Wedding Bell Blues	https://www.allmusicals.com/lyrics/marvelouswonderettesthe/weddingbellblues.htm
You Don't Own Me	https://www.allmusicals.com/lyrics/marvelouswonderettesthe/youdontownme.htm
With This Ring	https://www.allmusicals.com/lyrics/marvelouswonderettesthe/withthisring.htm
I Only Want to Be With You	https://www.allmusicals.com/lyrics/marvelouswonderettesthe/ionlywanttobewithyou.htm
That's When the Tears Start	https://www.allmusicals.com/lyrics/marvelouswonderettesthe/thatswhenthetearsstart.htm
It's My Party	https://www.allmusicals.com/lyrics/marvelouswonderettesthe/itsmyparty.htm
Son of a Preacher Man	https://www.allmusicals.com/lyrics/marvelouswonderettesthe/sonofapreacherman.htm
Leader of the Pack	https://www.allmusicals.com/lyrics/marvelouswonderettesthe/leaderofthepack.htm
Maybe	https://www.allmusicals.com/lyrics/marvelouswonderettesthe/maybe.htm
Maybe I Know	https://www.allmusicals.com/lyrics/marvelouswonderettesthe/maybeiknow.htm
Needle in a Haystack	https://www.allmusicals.com/lyrics/marvelouswonderettesthe/needleinahaystack.htm
Rescue Me	https://www.allmusicals.com/lyrics/marvelouswonderettesthe/rescueme.htm
Respect	https://www.allmusicals.com/lyrics/marvelouswonderettesthe/respect.htm
Thank You and Goodnight / Sincerely	https://www.allmusicals.com/lyrics/marvelouswonderettesthe/thankyouandgoodnightsincerely.htm
