song-name	url
Chim Chim Cher-ee	https://www.allmusicals.com/lyrics/marypoppins/chimchimcheree.htm
Cherry Tree Lane (Part 1)	https://www.allmusicals.com/lyrics/marypoppins/cherrytreelanepart1.htm
The Perfect Nanny	https://www.allmusicals.com/lyrics/marypoppins/theperfectnanny.htm
Cherry Tree Lane (Part 2)	https://www.allmusicals.com/lyrics/marypoppins/cherrytreelanepart2.htm
Practically Perfect	https://www.allmusicals.com/lyrics/marypoppins/practicallyperfect.htm
Jolly Holiday	https://www.allmusicals.com/lyrics/marypoppins/jollyholiday.htm
Cherry Tree Lane (reprise) / Being Mrs. Banks / Jolly Holiday (reprise)	https://www.allmusicals.com/lyrics/marypoppins/cherrytreelanereprisebeingmrsbanksjollyholidayreprise.htm
A Spoonful of Sugar	https://www.allmusicals.com/lyrics/marypoppins/aspoonfulofsugar.htm
Feed The Birds	https://www.allmusicals.com/lyrics/marypoppins/feedthebirds.htm
Supercalifragilisticexpialidocious	https://www.allmusicals.com/lyrics/marypoppins/supercalifragilisticexpialidocious.htm
Temper, Temper	https://www.allmusicals.com/lyrics/marypoppins/tempertemper.htm
Chim Chim Cher-ee (Rooftop Duet)	https://www.allmusicals.com/lyrics/marypoppins/chimchimchereerooftopduet.htm
Entr'acte	https://www.allmusicals.com/lyrics/marypoppins/entracte.htm
Brimstone and Treacle (part 1)	https://www.allmusicals.com/lyrics/marypoppins/brimstoneandtreaclepart1.htm
Let's Go Fly A Kite	https://www.allmusicals.com/lyrics/marypoppins/letsgoflyakite.htm
Good For Nothing / Being Mrs Banks (reprise)	https://www.allmusicals.com/lyrics/marypoppins/goodfornothingbeingmrsbanksreprise.htm
Brimstone and Treacle (part 2)	https://www.allmusicals.com/lyrics/marypoppins/brimstoneandtreaclepart2.htm
Step In Time	https://www.allmusicals.com/lyrics/marypoppins/stepintime.htm
A Man Has Dreams / A Spoonful of Sugar (reprise)	https://www.allmusicals.com/lyrics/marypoppins/amanhasdreamsaspoonfulofsugarreprise.htm
Anything Can Happen	https://www.allmusicals.com/lyrics/marypoppins/anythingcanhappen.htm
A Spoonful of Sugar (reprise) / A Shooting Star	https://www.allmusicals.com/lyrics/marypoppins/aspoonfulofsugarrepriseashootingstar.htm
