song-name	url
Overture	https://www.allmusicals.com/lyrics/matilda/overture.htm
Miracle	https://www.allmusicals.com/lyrics/matilda/miracle.htm
Naughty	https://www.allmusicals.com/lyrics/matilda/naughty.htm
School Song	https://www.allmusicals.com/lyrics/matilda/schoolsong.htm
Pathetic	https://www.allmusicals.com/lyrics/matilda/pathetic.htm
The Hammer	https://www.allmusicals.com/lyrics/matilda/thehammer.htm
The Chokey Chant	https://www.allmusicals.com/lyrics/matilda/thechokeychant.htm
Loud	https://www.allmusicals.com/lyrics/matilda/loud.htm
This Little Girl	https://www.allmusicals.com/lyrics/matilda/thislittlegirl.htm
Bruce	https://www.allmusicals.com/lyrics/matilda/bruce.htm
Telly	https://www.allmusicals.com/lyrics/matilda/telly.htm
When I Grow up	https://www.allmusicals.com/lyrics/matilda/whenigrowup.htm
I'm Here	https://www.allmusicals.com/lyrics/matilda/imhere.htm
The Smell of Rebellion	https://www.allmusicals.com/lyrics/matilda/thesmellofrebellion.htm
Quiet	https://www.allmusicals.com/lyrics/matilda/quiet.htm
My House	https://www.allmusicals.com/lyrics/matilda/myhouse.htm
Chalk Writing	https://www.allmusicals.com/lyrics/matilda/chalkwriting.htm
Revolting Children	https://www.allmusicals.com/lyrics/matilda/revoltingchildren.htm
When I Grow Up (Reprise)	https://www.allmusicals.com/lyrics/matilda/whenigrowupreprise.htm
Story 1: Once Upon a Time?	https://www.allmusicals.com/lyrics/matilda/story1onceuponatime.htm
Story 2: The Great Day Arrived?	https://www.allmusicals.com/lyrics/matilda/story2thegreatdayarrived.htm
Story 3: The Trick Started Well?	https://www.allmusicals.com/lyrics/matilda/story3thetrickstartedwell.htm
