song-name	url
A Cautionary Tale	https://www.allmusicals.com/lyrics/meangirls/acautionarytale.htm
It Roars	https://www.allmusicals.com/lyrics/meangirls/itroars.htm
It Roars (Reprise)	https://www.allmusicals.com/lyrics/meangirls/itroarsreprise.htm
Where Do You Belong?	https://www.allmusicals.com/lyrics/meangirls/wheredoyoubelong.htm
Meet the Plastics	https://www.allmusicals.com/lyrics/meangirls/meettheplastics.htm
Stupid With Love	https://www.allmusicals.com/lyrics/meangirls/stupidwithlove.htm
Apex Predator	https://www.allmusicals.com/lyrics/meangirls/apexpredator.htm
What’s Wrong with Me?	https://www.allmusicals.com/lyrics/meangirls/whatswrongwithme.htm
Stupid With Love (Reprise)	https://www.allmusicals.com/lyrics/meangirls/stupidwithlovereprise.htm
Sexy	https://www.allmusicals.com/lyrics/meangirls/sexy.htm
Someone Gets Hurt	https://www.allmusicals.com/lyrics/meangirls/someonegetshurt.htm
Revenge Party	https://www.allmusicals.com/lyrics/meangirls/revengeparty.htm
Fearless	https://www.allmusicals.com/lyrics/meangirls/fearless.htm
Someone Gets Hurt (Reprise)	https://www.allmusicals.com/lyrics/meangirls/someonegetshurtreprise.htm
Stop	https://www.allmusicals.com/lyrics/meangirls/stop.htm
What’s Wrong With Me (Reprise)	https://www.allmusicals.com/lyrics/meangirls/whatswrongwithmereprise.htm
Whose House Is This?	https://www.allmusicals.com/lyrics/meangirls/whosehouseisthis.htm
More Is Better	https://www.allmusicals.com/lyrics/meangirls/moreisbetter.htm
Someone Gets Hurt (Reprise 2)	https://www.allmusicals.com/lyrics/meangirls/someonegetshurtreprise2.htm
World Burn	https://www.allmusicals.com/lyrics/meangirls/worldburn.htm
I'd Rather Be Me	https://www.allmusicals.com/lyrics/meangirls/idratherbeme.htm
Do This Thing	https://www.allmusicals.com/lyrics/meangirls/dothisthing.htm
I See Stars	https://www.allmusicals.com/lyrics/meangirls/iseestars.htm
