song-name	url
Underground	https://www.allmusicals.com/lyrics/memphis/underground.htm
The Music of My Soul	https://www.allmusicals.com/lyrics/memphis/themusicofmysoul.htm
Scratch My Itch	https://www.allmusicals.com/lyrics/memphis/scratchmyitch.htm
Ain't Nothin' But a Kiss	https://www.allmusicals.com/lyrics/memphis/aintnothinbutakiss.htm
Everybody Wants to Be Black on a Saturday Night	https://www.allmusicals.com/lyrics/memphis/everybodywantstobeblackonasaturdaynight.htm
Make Me Stronger	https://www.allmusicals.com/lyrics/memphis/makemestronger.htm
Colored Woman	https://www.allmusicals.com/lyrics/memphis/coloredwoman.htm
Someday	https://www.allmusicals.com/lyrics/memphis/someday.htm
She's My Sister	https://www.allmusicals.com/lyrics/memphis/shesmysister.htm
Radio	https://www.allmusicals.com/lyrics/memphis/radio.htm
Say a Prayer	https://www.allmusicals.com/lyrics/memphis/sayaprayer.htm
Crazy Little Huey	https://www.allmusicals.com/lyrics/memphis/crazylittlehuey.htm
Big Love	https://www.allmusicals.com/lyrics/memphis/biglove.htm
Love Will Stand When All Else Falls	https://www.allmusicals.com/lyrics/memphis/lovewillstandwhenallelsefalls.htm
Stand Up	https://www.allmusicals.com/lyrics/memphis/standup.htm
Change Don't Come Easy	https://www.allmusicals.com/lyrics/memphis/changedontcomeeasy.htm
Tear the House Down	https://www.allmusicals.com/lyrics/memphis/tearthehousedown.htm
Memphis Lives in Me	https://www.allmusicals.com/lyrics/memphis/memphislivesinme.htm
Steal Your Rock 'N' Roll	https://www.allmusicals.com/lyrics/memphis/stealyourrocknroll.htm
