song-name	url
Hills of Tomorrow	https://www.allmusicals.com/lyrics/merrilywerollalong/hillsoftomorrow.htm
Merrily We Roll Along (1980)	https://www.allmusicals.com/lyrics/merrilywerollalong/merrilywerollalong1980.htm
Rich and Happy	https://www.allmusicals.com/lyrics/merrilywerollalong/richandhappy.htm
Old Friends/Like It Was	https://www.allmusicals.com/lyrics/merrilywerollalong/oldfriendslikeitwas.htm
Franklin Shepard, Inc.	https://www.allmusicals.com/lyrics/merrilywerollalong/franklinshepardinc.htm
Old Friends	https://www.allmusicals.com/lyrics/merrilywerollalong/oldfriends.htm
Not a Day Goes By	https://www.allmusicals.com/lyrics/merrilywerollalong/notadaygoesby.htm
Now You Know	https://www.allmusicals.com/lyrics/merrilywerollalong/nowyouknow.htm
It's a Hit!	https://www.allmusicals.com/lyrics/merrilywerollalong/itsahit.htm
Good Thing Going	https://www.allmusicals.com/lyrics/merrilywerollalong/goodthinggoing.htm
Bobby and Jackie and Jack	https://www.allmusicals.com/lyrics/merrilywerollalong/bobbyandjackieandjack.htm
Not a Day Goes By	https://www.allmusicals.com/lyrics/merrilywerollalong/notadaygoesby.htm
Opening Doors	https://www.allmusicals.com/lyrics/merrilywerollalong/openingdoors.htm
Our Time	https://www.allmusicals.com/lyrics/merrilywerollalong/ourtime.htm
Hills of Tomorrow (Finale)	https://www.allmusicals.com/lyrics/merrilywerollalong/hillsoftomorrowfinale.htm
