song-name	url
Blue Suede Shoes	https://www.allmusicals.com/lyrics/milliondollarquartet/bluesuedeshoes.htm
Real Wild Child	https://www.allmusicals.com/lyrics/milliondollarquartet/realwildchild.htm
Matchbox	https://www.allmusicals.com/lyrics/milliondollarquartet/matchbox.htm
Who Do You Love?	https://www.allmusicals.com/lyrics/milliondollarquartet/whodoyoulove.htm
Folsom Prison Blues	https://www.allmusicals.com/lyrics/milliondollarquartet/folsomprisonblues.htm
Fever	https://www.allmusicals.com/lyrics/milliondollarquartet/fever.htm
Memories Are Made Of This	https://www.allmusicals.com/lyrics/milliondollarquartet/memoriesaremadeofthis.htm
That's All Right	https://www.allmusicals.com/lyrics/milliondollarquartet/thatsallright.htm
Brown Eyed Handsome Man	https://www.allmusicals.com/lyrics/milliondollarquartet/browneyedhandsomeman.htm
Down By The Riverside	https://www.allmusicals.com/lyrics/milliondollarquartet/downbytheriverside.htm
Sixteen Tons	https://www.allmusicals.com/lyrics/milliondollarquartet/sixteentons.htm
My Babe	https://www.allmusicals.com/lyrics/milliondollarquartet/mybabe.htm
Long Tall Sally	https://www.allmusicals.com/lyrics/milliondollarquartet/longtallsally.htm
Peace In The Valley	https://www.allmusicals.com/lyrics/milliondollarquartet/peaceinthevalley.htm
I Walk the Line	https://www.allmusicals.com/lyrics/milliondollarquartet/iwalktheline.htm
I Hear You Knockin'	https://www.allmusicals.com/lyrics/milliondollarquartet/ihearyouknockin.htm
Party	https://www.allmusicals.com/lyrics/milliondollarquartet/party.htm
Great Balls of Fire	https://www.allmusicals.com/lyrics/milliondollarquartet/greatballsoffire.htm
Hound Dog	https://www.allmusicals.com/lyrics/milliondollarquartet/hounddog.htm
Ghost Riders	https://www.allmusicals.com/lyrics/milliondollarquartet/ghostriders.htm
See You Later, Alligator	https://www.allmusicals.com/lyrics/milliondollarquartet/seeyoulateralligator.htm
Whole Lotta Shakin' Goin' On	https://www.allmusicals.com/lyrics/milliondollarquartet/wholelottashakingoinon.htm
