song-name	url
Overture/Back Stage Dreamland	https://www.allmusicals.com/lyrics/misssaigon/overturebackstagedreamland.htm
The Heat Is On In Saigon	https://www.allmusicals.com/lyrics/misssaigon/theheatisoninsaigon.htm
The Movie In My Mind	https://www.allmusicals.com/lyrics/misssaigon/themovieinmymind.htm
The Transaction	https://www.allmusicals.com/lyrics/misssaigon/thetransaction.htm
The Dance	https://www.allmusicals.com/lyrics/misssaigon/thedance.htm
Why God Why?	https://www.allmusicals.com/lyrics/misssaigon/whygodwhy.htm
This Money Is Yours	https://www.allmusicals.com/lyrics/misssaigon/thismoneyisyours.htm
Sun And Moon	https://www.allmusicals.com/lyrics/misssaigon/sunandmoon.htm
The Telephone Song	https://www.allmusicals.com/lyrics/misssaigon/thetelephonesong.htm
The Deal	https://www.allmusicals.com/lyrics/misssaigon/thedeal.htm
The Wedding Ceremony (Dju Vui Vai)	https://www.allmusicals.com/lyrics/misssaigon/theweddingceremonydjuvuivai.htm
Thuy's Arrival	https://www.allmusicals.com/lyrics/misssaigon/thuysarrival.htm
What's This I Find	https://www.allmusicals.com/lyrics/misssaigon/whatsthisifind.htm
The Last Night Of The World	https://www.allmusicals.com/lyrics/misssaigon/thelastnightoftheworld.htm
The Morning Of The Dragon	https://www.allmusicals.com/lyrics/misssaigon/themorningofthedragon.htm
I Still Believe	https://www.allmusicals.com/lyrics/misssaigon/istillbelieve.htm
Back in Town	https://www.allmusicals.com/lyrics/misssaigon/backintown.htm
This Is The Hour	https://www.allmusicals.com/lyrics/misssaigon/thisisthehour.htm
If You Want To Die In Bed	https://www.allmusicals.com/lyrics/misssaigon/ifyouwanttodieinbed.htm
Let Me See His Western Nose	https://www.allmusicals.com/lyrics/misssaigon/letmeseehiswesternnose.htm
I'd Give My Life For You	https://www.allmusicals.com/lyrics/misssaigon/idgivemylifeforyou.htm
Bui-Doi	https://www.allmusicals.com/lyrics/misssaigon/buidoi.htm
The Revelation	https://www.allmusicals.com/lyrics/misssaigon/therevelation.htm
What A Waste	https://www.allmusicals.com/lyrics/misssaigon/whatawaste.htm
Please	https://www.allmusicals.com/lyrics/misssaigon/please.htm
Chris Is Here	https://www.allmusicals.com/lyrics/misssaigon/chrisishere.htm
Kim's Nightmare	https://www.allmusicals.com/lyrics/misssaigon/kimsnightmare.htm
The Fall Of Saigon	https://www.allmusicals.com/lyrics/misssaigon/thefallofsaigon.htm
Room 317	https://www.allmusicals.com/lyrics/misssaigon/room317.htm
Now That I've Seen Her	https://www.allmusicals.com/lyrics/misssaigon/nowthativeseenher.htm
The Confrontation	https://www.allmusicals.com/lyrics/misssaigon/theconfrontation.htm
Paper Dragons	https://www.allmusicals.com/lyrics/misssaigon/paperdragons.htm
The American Dream	https://www.allmusicals.com/lyrics/misssaigon/theamericandream.htm
The Sacred Bird	https://www.allmusicals.com/lyrics/misssaigon/thesacredbird.htm
Finale	https://www.allmusicals.com/lyrics/misssaigon/finale.htm
