song-name	url
Don’t Stop ’til You Get Enough	https://www.allmusicals.com/lyrics/mjthemusical/dontstoptilyougetenough.htm
rockin robin	https://www.allmusicals.com/lyrics/mjthemusical/rockinrobin.htm
Beat It	https://www.allmusicals.com/lyrics/mjthemusical/beatit.htm
I'll Be There	https://www.allmusicals.com/lyrics/mjthemusical/illbethere.htm
Ain’t No Sunshine	https://www.allmusicals.com/lyrics/mjthemusical/aintnosunshine.htm
P.Y.T.	https://www.allmusicals.com/lyrics/mjthemusical/pyt.htm
Billie Jean	https://www.allmusicals.com/lyrics/mjthemusical/billiejean.htm
We're Almost There	https://www.allmusicals.com/lyrics/mjthemusical/werealmostthere.htm
Black Or White	https://www.allmusicals.com/lyrics/mjthemusical/blackorwhite.htm
Got To Be There	https://www.allmusicals.com/lyrics/mjthemusical/gottobethere.htm
You Are Not Alone	https://www.allmusicals.com/lyrics/mjthemusical/youarenotalone.htm
Thriller	https://www.allmusicals.com/lyrics/mjthemusical/thriller.htm
I Want You Back	https://www.allmusicals.com/lyrics/mjthemusical/iwantyouback.htm
I Wanna Be Where You Are	https://www.allmusicals.com/lyrics/mjthemusical/iwannabewhereyouare.htm
Human Nature	https://www.allmusicals.com/lyrics/mjthemusical/humannature.htm
The Girl Is Mine	https://www.allmusicals.com/lyrics/mjthemusical/thegirlismine.htm
Take Me Back	https://www.allmusicals.com/lyrics/mjthemusical/takemeback.htm
Bad	https://www.allmusicals.com/lyrics/mjthemusical/bad.htm
You've Got A Friend	https://www.allmusicals.com/lyrics/mjthemusical/youvegotafriend.htm
ABC	https://www.allmusicals.com/lyrics/mjthemusical/abc.htm
Cinderella Stay Awhile	https://www.allmusicals.com/lyrics/mjthemusical/cinderellastayawhile.htm
Remember The Time	https://www.allmusicals.com/lyrics/mjthemusical/rememberthetime.htm
Just A Little Bit Of You	https://www.allmusicals.com/lyrics/mjthemusical/justalittlebitofyou.htm
Smooth Criminal	https://www.allmusicals.com/lyrics/mjthemusical/smoothcriminal.htm
Girl Don't Take Your Love from Me	https://www.allmusicals.com/lyrics/mjthemusical/girldonttakeyourlovefromme.htm
Will You Be There	https://www.allmusicals.com/lyrics/mjthemusical/willyoubethere.htm
Maria (You Were The Only One)	https://www.allmusicals.com/lyrics/mjthemusical/mariayouweretheonlyone.htm
Dangerous	https://www.allmusicals.com/lyrics/mjthemusical/dangerous.htm
Ben	https://www.allmusicals.com/lyrics/mjthemusical/ben.htm
Scream	https://www.allmusicals.com/lyrics/mjthemusical/scream.htm
Morning Glow	https://www.allmusicals.com/lyrics/mjthemusical/morningglow.htm
Heal the World	https://www.allmusicals.com/lyrics/mjthemusical/healtheworld.htm
Wings Of My Love	https://www.allmusicals.com/lyrics/mjthemusical/wingsofmylove.htm
One Day In Your Life	https://www.allmusicals.com/lyrics/mjthemusical/onedayinyourlife.htm
Love Is Here And Now You're Gone	https://www.allmusicals.com/lyrics/mjthemusical/loveishereandnowyouregone.htm
The Way You Make Me Feel	https://www.allmusicals.com/lyrics/mjthemusical/thewayyoumakemefeel.htm
We've Got Forever	https://www.allmusicals.com/lyrics/mjthemusical/wevegotforever.htm
Dapper Dan	https://www.allmusicals.com/lyrics/mjthemusical/dapperdan.htm
Wanna Be Startin’ Somethin’	https://www.allmusicals.com/lyrics/mjthemusical/wannabestartinsomethin.htm
In Our Small Way	https://www.allmusicals.com/lyrics/mjthemusical/inoursmallway.htm
Leave Me Alone	https://www.allmusicals.com/lyrics/mjthemusical/leavemealone.htm
You Rock My World	https://www.allmusicals.com/lyrics/mjthemusical/yourockmyworld.htm
Dear Michael	https://www.allmusicals.com/lyrics/mjthemusical/dearmichael.htm
With A Child's Heart	https://www.allmusicals.com/lyrics/mjthemusical/withachildsheart.htm
You Are There	https://www.allmusicals.com/lyrics/mjthemusical/youarethere.htm
Euphoria	https://www.allmusicals.com/lyrics/mjthemusical/euphoria.htm
Johnny Raven	https://www.allmusicals.com/lyrics/mjthemusical/johnnyraven.htm
I Just Can't Stop Loving You	https://www.allmusicals.com/lyrics/mjthemusical/ijustcantstoplovingyou.htm
Up Again	https://www.allmusicals.com/lyrics/mjthemusical/upagain.htm
All The Things You Are	https://www.allmusicals.com/lyrics/mjthemusical/allthethingsyouare.htm
I'll Come Home To You	https://www.allmusicals.com/lyrics/mjthemusical/illcomehometoyou.htm
Too Young	https://www.allmusicals.com/lyrics/mjthemusical/tooyoung.htm
Happy	https://www.allmusicals.com/lyrics/mjthemusical/happy.htm
Music And Me	https://www.allmusicals.com/lyrics/mjthemusical/musicandme.htm
Man in the Mirror	https://www.allmusicals.com/lyrics/mjthemusical/maninthemirror.htm
Dirty Diana	https://www.allmusicals.com/lyrics/mjthemusical/dirtydiana.htm
Another Part of Me	https://www.allmusicals.com/lyrics/mjthemusical/anotherpartofme.htm
Doggin' Around	https://www.allmusicals.com/lyrics/mjthemusical/dogginaround.htm
In the Closet	https://www.allmusicals.com/lyrics/mjthemusical/inthecloset.htm
Who Is It	https://www.allmusicals.com/lyrics/mjthemusical/whoisit.htm
