song-name	url
Overture	https://www.allmusicals.com/lyrics/mosthappyfellathe/overture.htm
Ooh, My Feet	https://www.allmusicals.com/lyrics/mosthappyfellathe/oohmyfeet.htm
I Know How It Is	https://www.allmusicals.com/lyrics/mosthappyfellathe/iknowhowitis.htm
Somebody, Somewhere	https://www.allmusicals.com/lyrics/mosthappyfellathe/somebodysomewhere.htm
The Most Happy Fella	https://www.allmusicals.com/lyrics/mosthappyfellathe/themosthappyfella.htm
Standing on the Corner	https://www.allmusicals.com/lyrics/mosthappyfellathe/standingonthecorner.htm
Joey, Joey, Joey	https://www.allmusicals.com/lyrics/mosthappyfellathe/joeyjoeyjoey.htm
Rosabella	https://www.allmusicals.com/lyrics/mosthappyfellathe/rosabella.htm
Sposalizio	https://www.allmusicals.com/lyrics/mosthappyfellathe/sposalizio.htm
Don't Cry	https://www.allmusicals.com/lyrics/mosthappyfellathe/dontcry.htm
Fresno Beauties	https://www.allmusicals.com/lyrics/mosthappyfellathe/fresnobeauties.htm
Love and Kindness	https://www.allmusicals.com/lyrics/mosthappyfellathe/loveandkindness.htm
"Big ""D"""	https://www.allmusicals.com/lyrics/mosthappyfellathe/bigd.htm
How Beautiful the Days	https://www.allmusicals.com/lyrics/mosthappyfellathe/howbeautifulthedays.htm
Warm All Over	https://www.allmusicals.com/lyrics/mosthappyfellathe/warmallover.htm
I Like Everybody	https://www.allmusicals.com/lyrics/mosthappyfellathe/ilikeeverybody.htm
My Heart is So Full of You	https://www.allmusicals.com/lyrics/mosthappyfellathe/myheartissofullofyou.htm
Song of a Summer Night	https://www.allmusicals.com/lyrics/mosthappyfellathe/songofasummernight.htm
Please Let Me Tell You	https://www.allmusicals.com/lyrics/mosthappyfellathe/pleaseletmetellyou.htm
I Made A Fist	https://www.allmusicals.com/lyrics/mosthappyfellathe/imadeafist.htm
Finale	https://www.allmusicals.com/lyrics/mosthappyfellathe/finale.htm
