song-name	url
Running on Ice	https://www.allmusicals.com/lyrics/movinout/runningonice.htm
It's Still Rock and Roll to Me	https://www.allmusicals.com/lyrics/movinout/itsstillrockandrolltome.htm
Scenes from an Italian Restaurant	https://www.allmusicals.com/lyrics/movinout/scenesfromanitalianrestaurant.htm
Movin' Out (Anthony's Song)	https://www.allmusicals.com/lyrics/movinout/movinoutanthonyssong.htm
Reverie (Instrumental)	https://www.allmusicals.com/lyrics/movinout/reverieinstrumental.htm
Just the Way You Are	https://www.allmusicals.com/lyrics/movinout/justthewayyouare.htm
The Longest Time	https://www.allmusicals.com/lyrics/movinout/thelongesttime.htm
Uptown Girl	https://www.allmusicals.com/lyrics/movinout/uptowngirl.htm
This Night	https://www.allmusicals.com/lyrics/movinout/thisnight.htm
Summer, Highland Falls	https://www.allmusicals.com/lyrics/movinout/summerhighlandfalls.htm
Waltz#1 (Nunley's Carousel)	https://www.allmusicals.com/lyrics/movinout/waltz1nunleyscarousel.htm
We Didn't Start the Fire	https://www.allmusicals.com/lyrics/movinout/wedidntstartthefire.htm
She's Got a Way	https://www.allmusicals.com/lyrics/movinout/shesgotaway.htm
The Stranger	https://www.allmusicals.com/lyrics/movinout/thestranger.htm
Piano Man	https://www.allmusicals.com/lyrics/movinout/pianoman.htm
Elegy	https://www.allmusicals.com/lyrics/movinout/elegy.htm
And So It Goes	https://www.allmusicals.com/lyrics/movinout/andsoitgoes.htm
Invention in C Minor	https://www.allmusicals.com/lyrics/movinout/inventionincminor.htm
Angry Young Man	https://www.allmusicals.com/lyrics/movinout/angryyoungman.htm
Big Shot	https://www.allmusicals.com/lyrics/movinout/bigshot.htm
Big Man on Mulberry Street	https://www.allmusicals.com/lyrics/movinout/bigmanonmulberrystreet.htm
Captain Jack	https://www.allmusicals.com/lyrics/movinout/captainjack.htm
An Innocent Man	https://www.allmusicals.com/lyrics/movinout/aninnocentman.htm
Pressure	https://www.allmusicals.com/lyrics/movinout/pressure.htm
Goodnight Saigon	https://www.allmusicals.com/lyrics/movinout/goodnightsaigon.htm
Air	https://www.allmusicals.com/lyrics/movinout/air.htm
Shameless	https://www.allmusicals.com/lyrics/movinout/shameless.htm
James	https://www.allmusicals.com/lyrics/movinout/james.htm
The River of Dreams	https://www.allmusicals.com/lyrics/movinout/theriverofdreams.htm
Keeping the Faith	https://www.allmusicals.com/lyrics/movinout/keepingthefaith.htm
Only the Good Die Young	https://www.allmusicals.com/lyrics/movinout/onlythegooddieyoung.htm
I've Loved These Days	https://www.allmusicals.com/lyrics/movinout/ivelovedthesedays.htm
New York State of Mind	https://www.allmusicals.com/lyrics/movinout/newyorkstateofmind.htm
