song-name	url
In Our Hide-Away	https://www.allmusicals.com/lyrics/mrpresident/inourhideaway.htm
First Lady	https://www.allmusicals.com/lyrics/mrpresident/firstlady.htm
Secret Service	https://www.allmusicals.com/lyrics/mrpresident/secretservice.htm
It Gets Lonely in the White House	https://www.allmusicals.com/lyrics/mrpresident/itgetslonelyinthewhitehouse.htm
Is He the Only Man in the World?	https://www.allmusicals.com/lyrics/mrpresident/ishetheonlymanintheworld.htm
They Love Me	https://www.allmusicals.com/lyrics/mrpresident/theyloveme.htm
Pigtails and Freckles	https://www.allmusicals.com/lyrics/mrpresident/pigtailsandfreckles.htm
Don't Be Afraid of Romance	https://www.allmusicals.com/lyrics/mrpresident/dontbeafraidofromance.htm
Empty Pockets Filled With Love	https://www.allmusicals.com/lyrics/mrpresident/emptypocketsfilledwithlove.htm
Glad to Be Home	https://www.allmusicals.com/lyrics/mrpresident/gladtobehome.htm
Washington Twist	https://www.allmusicals.com/lyrics/mrpresident/washingtontwist.htm
Only Dance I Know	https://www.allmusicals.com/lyrics/mrpresident/onlydanceiknow.htm
I'm Gonna Get Him	https://www.allmusicals.com/lyrics/mrpresident/imgonnagethim.htm
This Is a Great Country/Finale	https://www.allmusicals.com/lyrics/mrpresident/thisisagreatcountryfinale.htm
