song-name	url
A Little Joy	https://www.allmusicals.com/lyrics/mrsaturdaynight/alittlejoy.htm
There's A Chance	https://www.allmusicals.com/lyrics/mrsaturdaynight/theresachance.htm
I Still Got It	https://www.allmusicals.com/lyrics/mrsaturdaynight/istillgotit.htm
Until Now	https://www.allmusicals.com/lyrics/mrsaturdaynight/untilnow.htm
What If I Said?	https://www.allmusicals.com/lyrics/mrsaturdaynight/whatifisaid.htm
Unbelievable	https://www.allmusicals.com/lyrics/mrsaturdaynight/unbelievable.htm
What's Playin' at the Movies	https://www.allmusicals.com/lyrics/mrsaturdaynight/whatsplayinatthemovies.htm
Maybe It Starts With Me	https://www.allmusicals.com/lyrics/mrsaturdaynight/maybeitstartswithme.htm
Tahiti	https://www.allmusicals.com/lyrics/mrsaturdaynight/tahiti.htm
My Wonderful Pain In The Ass	https://www.allmusicals.com/lyrics/mrsaturdaynight/mywonderfulpainintheass.htm
Broken	https://www.allmusicals.com/lyrics/mrsaturdaynight/broken.htm
Any Man But Me	https://www.allmusicals.com/lyrics/mrsaturdaynight/anymanbutme.htm
Stick Around	https://www.allmusicals.com/lyrics/mrsaturdaynight/stickaround.htm
