song-name	url
Rock Island	https://www.allmusicals.com/lyrics/musicmanthe/rockisland.htm
Iowa Stubborn	https://www.allmusicals.com/lyrics/musicmanthe/iowastubborn.htm
Ya Got Trouble	https://www.allmusicals.com/lyrics/musicmanthe/yagottrouble.htm
Piano Lesson	https://www.allmusicals.com/lyrics/musicmanthe/pianolesson.htm
Goodnight My Someone	https://www.allmusicals.com/lyrics/musicmanthe/goodnightmysomeone.htm
Seventy Six Trombones	https://www.allmusicals.com/lyrics/musicmanthe/seventysixtrombones.htm
Sincere	https://www.allmusicals.com/lyrics/musicmanthe/sincere.htm
The Sadder-But-Wiser Girl For Me	https://www.allmusicals.com/lyrics/musicmanthe/thesadderbutwisergirlforme.htm
Pick-A-Little / Goodnight Ladies	https://www.allmusicals.com/lyrics/musicmanthe/pickalittlegoodnightladies.htm
Marian The Librarian	https://www.allmusicals.com/lyrics/musicmanthe/marianthelibrarian.htm
My White Knight	https://www.allmusicals.com/lyrics/musicmanthe/mywhiteknight.htm
Wells Fargo Wagon	https://www.allmusicals.com/lyrics/musicmanthe/wellsfargowagon.htm
It's You	https://www.allmusicals.com/lyrics/musicmanthe/itsyou.htm
Shipoopi	https://www.allmusicals.com/lyrics/musicmanthe/shipoopi.htm
Lida Rose	https://www.allmusicals.com/lyrics/musicmanthe/lidarose.htm
Will I Ever Tell You	https://www.allmusicals.com/lyrics/musicmanthe/willievertellyou.htm
Gary, Indiana	https://www.allmusicals.com/lyrics/musicmanthe/garyindiana.htm
Till There Was You	https://www.allmusicals.com/lyrics/musicmanthe/tilltherewasyou.htm
Finale	https://www.allmusicals.com/lyrics/musicmanthe/finale.htm
