song-name	url
Why Can't the English?	https://www.allmusicals.com/lyrics/myfairlady/whycanttheenglish.htm
Wouldn't It Be Loverly?	https://www.allmusicals.com/lyrics/myfairlady/wouldntitbeloverly.htm
With a Little Bit of Luck	https://www.allmusicals.com/lyrics/myfairlady/withalittlebitofluck.htm
I'm an Ordinary Man	https://www.allmusicals.com/lyrics/myfairlady/imanordinaryman.htm
Just You Wait	https://www.allmusicals.com/lyrics/myfairlady/justyouwait.htm
Rain in Spain	https://www.allmusicals.com/lyrics/myfairlady/raininspain.htm
I Could Have Danced All Night	https://www.allmusicals.com/lyrics/myfairlady/icouldhavedancedallnight.htm
Ascot Gavotte	https://www.allmusicals.com/lyrics/myfairlady/ascotgavotte.htm
On the Street Where You Live	https://www.allmusicals.com/lyrics/myfairlady/onthestreetwhereyoulive.htm
Eliza's Entrance/Embassy Waltz	https://www.allmusicals.com/lyrics/myfairlady/elizasentranceembassywaltz.htm
You Did It	https://www.allmusicals.com/lyrics/myfairlady/youdidit.htm
Show Me	https://www.allmusicals.com/lyrics/myfairlady/showme.htm
Get Me to the Church on Time	https://www.allmusicals.com/lyrics/myfairlady/getmetothechurchontime.htm
Hymn to Him	https://www.allmusicals.com/lyrics/myfairlady/hymntohim.htm
Without You	https://www.allmusicals.com/lyrics/myfairlady/withoutyou.htm
I've Grown Accustomed to Her Face	https://www.allmusicals.com/lyrics/myfairlady/ivegrownaccustomedtoherface.htm
