song-name	url
Children Of The Heavenly King	https://www.allmusicals.com/lyrics/mythsandhymns/childrenoftheheavenlyking.htm
At The Sounding	https://www.allmusicals.com/lyrics/mythsandhymns/atthesounding.htm
Saturn Returns	https://www.allmusicals.com/lyrics/mythsandhymns/saturnreturns.htm
Icarus	https://www.allmusicals.com/lyrics/mythsandhymns/icarus.htm
Migratory V	https://www.allmusicals.com/lyrics/mythsandhymns/migratoryv.htm
Pegasus	https://www.allmusicals.com/lyrics/mythsandhymns/pegasus.htm
Link	https://www.allmusicals.com/lyrics/mythsandhymns/link.htm
Hero And Leander	https://www.allmusicals.com/lyrics/mythsandhymns/heroandleander.htm
Sisyphus	https://www.allmusicals.com/lyrics/mythsandhymns/sisyphus.htm
Come To Jesus	https://www.allmusicals.com/lyrics/mythsandhymns/cometojesus.htm
How Can I Lose You?	https://www.allmusicals.com/lyrics/mythsandhymns/howcaniloseyou.htm
There's A Shout	https://www.allmusicals.com/lyrics/mythsandhymns/theresashout.htm
Awaiting You	https://www.allmusicals.com/lyrics/mythsandhymns/awaitingyou.htm
The Great Highway	https://www.allmusicals.com/lyrics/mythsandhymns/thegreathighway.htm
There's A Land	https://www.allmusicals.com/lyrics/mythsandhymns/theresaland.htm
Saturn Returns (Reprise)	https://www.allmusicals.com/lyrics/mythsandhymns/saturnreturnsreprise.htm
