song-name	url
Gratuitous Nudity	https://www.allmusicals.com/lyrics/nakedboyssinging/gratuitousnudity.htm
The Naked Maid	https://www.allmusicals.com/lyrics/nakedboyssinging/thenakedmaid.htm
The Bliss of a Bris	https://www.allmusicals.com/lyrics/nakedboyssinging/theblissofabris.htm
Window to Window	https://www.allmusicals.com/lyrics/nakedboyssinging/windowtowindow.htm
Fight the Urge	https://www.allmusicals.com/lyrics/nakedboyssinging/fighttheurge.htm
Robert Mitchum	https://www.allmusicals.com/lyrics/nakedboyssinging/robertmitchum.htm
Jack's Song	https://www.allmusicals.com/lyrics/nakedboyssinging/jackssong.htm
Members Only	https://www.allmusicals.com/lyrics/nakedboyssinging/membersonly.htm
Perky Little Porn Star	https://www.allmusicals.com/lyrics/nakedboyssinging/perkylittlepornstar.htm
Stripped	https://www.allmusicals.com/lyrics/nakedboyssinging/stripped.htm
Kris, Look What You've Missed	https://www.allmusicals.com/lyrics/nakedboyssinging/krislookwhatyouvemissed.htm
Muscle Addiction	https://www.allmusicals.com/lyrics/nakedboyssinging/muscleaddiction.htm
Window to Window (Reprise)	https://www.allmusicals.com/lyrics/nakedboyssinging/windowtowindowreprise.htm
Nothin' But the Radio On	https://www.allmusicals.com/lyrics/nakedboyssinging/nothinbuttheradioon.htm
Window to the Soul	https://www.allmusicals.com/lyrics/nakedboyssinging/windowtothesoul.htm
