song-name	url
Prologue	https://www.allmusicals.com/lyrics/natashapierreandthegreatcometof1812/prologue.htm
Pierre	https://www.allmusicals.com/lyrics/natashapierreandthegreatcometof1812/pierre.htm
Moscow	https://www.allmusicals.com/lyrics/natashapierreandthegreatcometof1812/moscow.htm
The Private and Intimate Life of the House	https://www.allmusicals.com/lyrics/natashapierreandthegreatcometof1812/theprivateandintimatelifeofthehouse.htm
Natasha & Bolkonskys	https://www.allmusicals.com/lyrics/natashapierreandthegreatcometof1812/natashabolkonskys.htm
No One Else	https://www.allmusicals.com/lyrics/natashapierreandthegreatcometof1812/nooneelse.htm
Opera	https://www.allmusicals.com/lyrics/natashapierreandthegreatcometof1812/opera.htm
Natasha & Anatole	https://www.allmusicals.com/lyrics/natashapierreandthegreatcometof1812/natashaanatole.htm
Natasha Lost	https://www.allmusicals.com/lyrics/natashapierreandthegreatcometof1812/natashalost.htm
The Duel	https://www.allmusicals.com/lyrics/natashapierreandthegreatcometof1812/theduel.htm
Sunday Morning	https://www.allmusicals.com/lyrics/natashapierreandthegreatcometof1812/sundaymorning.htm
Charming	https://www.allmusicals.com/lyrics/natashapierreandthegreatcometof1812/charming.htm
The Ball	https://www.allmusicals.com/lyrics/natashapierreandthegreatcometof1812/theball.htm
Letters	https://www.allmusicals.com/lyrics/natashapierreandthegreatcometof1812/letters.htm
Sonya & Natasha	https://www.allmusicals.com/lyrics/natashapierreandthegreatcometof1812/sonyanatasha.htm
Sonya Alone	https://www.allmusicals.com/lyrics/natashapierreandthegreatcometof1812/sonyaalone.htm
Preparations	https://www.allmusicals.com/lyrics/natashapierreandthegreatcometof1812/preparations.htm
Balaga	https://www.allmusicals.com/lyrics/natashapierreandthegreatcometof1812/balaga.htm
The Abduction	https://www.allmusicals.com/lyrics/natashapierreandthegreatcometof1812/theabduction.htm
In My House	https://www.allmusicals.com/lyrics/natashapierreandthegreatcometof1812/inmyhouse.htm
A Call to Pierre	https://www.allmusicals.com/lyrics/natashapierreandthegreatcometof1812/acalltopierre.htm
Find Anatole	https://www.allmusicals.com/lyrics/natashapierreandthegreatcometof1812/findanatole.htm
Pierre & Anatole	https://www.allmusicals.com/lyrics/natashapierreandthegreatcometof1812/pierreanatole.htm
Natasha Very Ill	https://www.allmusicals.com/lyrics/natashapierreandthegreatcometof1812/natashaveryill.htm
Pierre & Andrey	https://www.allmusicals.com/lyrics/natashapierreandthegreatcometof1812/pierreandrey.htm
Pierre & Natasha	https://www.allmusicals.com/lyrics/natashapierreandthegreatcometof1812/pierrenatasha.htm
The Great Comet of 1812	https://www.allmusicals.com/lyrics/natashapierreandthegreatcometof1812/thegreatcometof1812.htm
