song-name	url
Frogs Have So Much Spring ('The Spring Song')	https://www.allmusicals.com/lyrics/newbraina/frogshavesomuchspringthespringsong.htm
Calamari	https://www.allmusicals.com/lyrics/newbraina/calamari.htm
911 Emergency/I Have So Many Songs	https://www.allmusicals.com/lyrics/newbraina/911emergencyihavesomanysongs.htm
Heart And Music	https://www.allmusicals.com/lyrics/newbraina/heartandmusic.htm
Trouble In His Brain	https://www.allmusicals.com/lyrics/newbraina/troubleinhisbrain.htm
Mother's Gonna Make Things Fine	https://www.allmusicals.com/lyrics/newbraina/mothersgonnamakethingsfine.htm
I'd Rather Be Sailing	https://www.allmusicals.com/lyrics/newbraina/idratherbesailing.htm
Family History	https://www.allmusicals.com/lyrics/newbraina/familyhistory.htm
Gordo's Law Of Genetics	https://www.allmusicals.com/lyrics/newbraina/gordoslawofgenetics.htm
And They're Off	https://www.allmusicals.com/lyrics/newbraina/andtheyreoff.htm
Just Go	https://www.allmusicals.com/lyrics/newbraina/justgo.htm
Poor, Unsuccessful And Fat	https://www.allmusicals.com/lyrics/newbraina/poorunsuccessfulandfat.htm
Sitting Becalmed In The Lee Of Cuttyhunk	https://www.allmusicals.com/lyrics/newbraina/sittingbecalmedintheleeofcuttyhunk.htm
An Invitation To Sleep In My Arms	https://www.allmusicals.com/lyrics/newbraina/aninvitationtosleepinmyarms.htm
Change	https://www.allmusicals.com/lyrics/newbraina/change.htm
Yes	https://www.allmusicals.com/lyrics/newbraina/yes.htm
In The Middle Of The Room	https://www.allmusicals.com/lyrics/newbraina/inthemiddleoftheroom.htm
Throw It Out	https://www.allmusicals.com/lyrics/newbraina/throwitout.htm
A Really Lousy Day In The Universe	https://www.allmusicals.com/lyrics/newbraina/areallylousydayintheuniverse.htm
Brain Dead	https://www.allmusicals.com/lyrics/newbraina/braindead.htm
Whenever I Dream	https://www.allmusicals.com/lyrics/newbraina/wheneveridream.htm
Eating Myself Up Alive	https://www.allmusicals.com/lyrics/newbraina/eatingmyselfupalive.htm
Don't Give In	https://www.allmusicals.com/lyrics/newbraina/dontgivein.htm
Time And Music	https://www.allmusicals.com/lyrics/newbraina/timeandmusic.htm
