song-name	url
Overture	https://www.allmusicals.com/lyrics/niceworkifyoucangetit/overture.htm
Sweet and Lowdown	https://www.allmusicals.com/lyrics/niceworkifyoucangetit/sweetandlowdown.htm
Nice Work If You Can Get It	https://www.allmusicals.com/lyrics/niceworkifyoucangetit/niceworkifyoucangetit.htm
Nice Work If You Can Get It (Reprise)	https://www.allmusicals.com/lyrics/niceworkifyoucangetit/niceworkifyoucangetitreprise.htm
Demon Rum	https://www.allmusicals.com/lyrics/niceworkifyoucangetit/demonrum.htm
Someone to Watch Over Me	https://www.allmusicals.com/lyrics/niceworkifyoucangetit/someonetowatchoverme.htm
Delishious	https://www.allmusicals.com/lyrics/niceworkifyoucangetit/delishious.htm
I've Got to Be There	https://www.allmusicals.com/lyrics/niceworkifyoucangetit/ivegottobethere.htm
Treat Me Rough	https://www.allmusicals.com/lyrics/niceworkifyoucangetit/treatmerough.htm
Let's Call the Whole Thing Off	https://www.allmusicals.com/lyrics/niceworkifyoucangetit/letscallthewholethingoff.htm
Do It Again	https://www.allmusicals.com/lyrics/niceworkifyoucangetit/doitagain.htm
S Wonderful	https://www.allmusicals.com/lyrics/niceworkifyoucangetit/swonderful.htm
Fascinating Rhythm	https://www.allmusicals.com/lyrics/niceworkifyoucangetit/fascinatingrhythm.htm
Lady Be Good	https://www.allmusicals.com/lyrics/niceworkifyoucangetit/ladybegood.htm
But Not for Me	https://www.allmusicals.com/lyrics/niceworkifyoucangetit/butnotforme.htm
By Strauss	https://www.allmusicals.com/lyrics/niceworkifyoucangetit/bystrauss.htm
Sweet and Lowdown (Reprise)	https://www.allmusicals.com/lyrics/niceworkifyoucangetit/sweetandlowdownreprise.htm
Do, Do, Do	https://www.allmusicals.com/lyrics/niceworkifyoucangetit/dododo.htm
Hangin' Around With You	https://www.allmusicals.com/lyrics/niceworkifyoucangetit/hanginaroundwithyou.htm
Looking for a Boy	https://www.allmusicals.com/lyrics/niceworkifyoucangetit/lookingforaboy.htm
Blah, Blah, Blah	https://www.allmusicals.com/lyrics/niceworkifyoucangetit/blahblahblah.htm
Will You Remember Me?	https://www.allmusicals.com/lyrics/niceworkifyoucangetit/willyourememberme.htm
I've Got to Be There (Reprise)	https://www.allmusicals.com/lyrics/niceworkifyoucangetit/ivegottobetherereprise.htm
I've Got a Crush on You	https://www.allmusicals.com/lyrics/niceworkifyoucangetit/ivegotacrushonyou.htm
Someone to Watch Over Me (Reprise)	https://www.allmusicals.com/lyrics/niceworkifyoucangetit/someonetowatchovermereprise.htm
They All Laughed	https://www.allmusicals.com/lyrics/niceworkifyoucangetit/theyalllaughed.htm
