song-name	url
Overture Delle Donne	https://www.allmusicals.com/lyrics/nine/overturedelledonne.htm
Germans At The Spa	https://www.allmusicals.com/lyrics/nine/germansatthespa.htm
Not Since Chaplin	https://www.allmusicals.com/lyrics/nine/notsincechaplin.htm
Guido's Song	https://www.allmusicals.com/lyrics/nine/guidossong.htm
My Husband Makes Movies	https://www.allmusicals.com/lyrics/nine/myhusbandmakesmovies.htm
A Call from the Vatican	https://www.allmusicals.com/lyrics/nine/acallfromthevatican.htm
Only With You	https://www.allmusicals.com/lyrics/nine/onlywithyou.htm
The Script	https://www.allmusicals.com/lyrics/nine/thescript.htm
Folies Bergeres	https://www.allmusicals.com/lyrics/nine/foliesbergeres.htm
Nine	https://www.allmusicals.com/lyrics/nine/nine.htm
Ti Voglio Bene/Be Italian	https://www.allmusicals.com/lyrics/nine/tivogliobenebeitalian.htm
The Bells of St. Sebastian	https://www.allmusicals.com/lyrics/nine/thebellsofstsebastian.htm
A Man Like You	https://www.allmusicals.com/lyrics/nine/amanlikeyou.htm
Unusual Way	https://www.allmusicals.com/lyrics/nine/unusualway.htm
Contini Submits	https://www.allmusicals.com/lyrics/nine/continisubmits.htm
The Grand Canal	https://www.allmusicals.com/lyrics/nine/thegrandcanal.htm
Every Girl in Venice	https://www.allmusicals.com/lyrics/nine/everygirlinvenice.htm
Amor	https://www.allmusicals.com/lyrics/nine/amor.htm
Only You	https://www.allmusicals.com/lyrics/nine/onlyyou.htm
Finale	https://www.allmusicals.com/lyrics/nine/finale.htm
Simple	https://www.allmusicals.com/lyrics/nine/simple.htm
Be On Your Own	https://www.allmusicals.com/lyrics/nine/beonyourown.htm
I Can't Make This Movie	https://www.allmusicals.com/lyrics/nine/icantmakethismovie.htm
Getting Tall	https://www.allmusicals.com/lyrics/nine/gettingtall.htm
Reprises	https://www.allmusicals.com/lyrics/nine/reprises.htm
