song-name	url
Wintergreen for President	https://www.allmusicals.com/lyrics/oftheeising/wintergreenforpresident.htm
Who Is the Lucky Girl to Be?	https://www.allmusicals.com/lyrics/oftheeising/whoistheluckygirltobe.htm
Dimple on My Knee	https://www.allmusicals.com/lyrics/oftheeising/dimpleonmyknee.htm
Because, Because	https://www.allmusicals.com/lyrics/oftheeising/becausebecause.htm
As the Chairman of the Committee / How Beautiful / Never Was There a Girl So Fair / Some Girls Can Bake a Pie	https://www.allmusicals.com/lyrics/oftheeising/asthechairmanofthecommitteehowbeautifulneverwasthereagirlsofairsomegirlscanbakeapie.htm
Love Is Sweeping the Country	https://www.allmusicals.com/lyrics/oftheeising/loveissweepingthecountry.htm
Of Thee I Sing	https://www.allmusicals.com/lyrics/oftheeising/oftheeising.htm
Here's a Kiss for Cinderella	https://www.allmusicals.com/lyrics/oftheeising/heresakissforcinderella.htm
I Was the Most Beautiful Blossom	https://www.allmusicals.com/lyrics/oftheeising/iwasthemostbeautifulblossom.htm
Some Girls Can Bake a Pie (Reprise)	https://www.allmusicals.com/lyrics/oftheeising/somegirlscanbakeapiereprise.htm
Hello, Good Morning	https://www.allmusicals.com/lyrics/oftheeising/hellogoodmorning.htm
Who Cares?	https://www.allmusicals.com/lyrics/oftheeising/whocares.htm
Garc,on, S'il Vous Plai't / Illegitimate Daughter / We'll Impeach Him Who Cares? (Reprise)	https://www.allmusicals.com/lyrics/oftheeising/garconsilvousplaitillegitimatedaughterwellimpeachhimwhocaresreprise.htm
The (Senatorial) Roll Call	https://www.allmusicals.com/lyrics/oftheeising/thesenatorialrollcall.htm
Jilted	https://www.allmusicals.com/lyrics/oftheeising/jilted.htm
Who Could Ask for Anything More?	https://www.allmusicals.com/lyrics/oftheeising/whocouldaskforanythingmore.htm
Posterity Is Just Around the Corner	https://www.allmusicals.com/lyrics/oftheeising/posterityisjustaroundthecorner.htm
Trumpeter Blow Your Horn / Finale	https://www.allmusicals.com/lyrics/oftheeising/trumpeterblowyourhornfinale.htm
