song-name	url
Overture	https://www.allmusicals.com/lyrics/ohkay/overture.htm
Moon Is on the Sea	https://www.allmusicals.com/lyrics/ohkay/moonisonthesea.htm
When Our Ship Comes Sailing In	https://www.allmusicals.com/lyrics/ohkay/whenourshipcomessailingin.htm
Don't Ask	https://www.allmusicals.com/lyrics/ohkay/dontask.htm
Someone to Watch over Me	https://www.allmusicals.com/lyrics/ohkay/someonetowatchoverme.htm
Woman's Touch	https://www.allmusicals.com/lyrics/ohkay/womanstouch.htm
Dear Little Girl	https://www.allmusicals.com/lyrics/ohkay/dearlittlegirl.htm
Maybe	https://www.allmusicals.com/lyrics/ohkay/maybe.htm
Clap Yo' Hands	https://www.allmusicals.com/lyrics/ohkay/clapyohands.htm
Do Do Do	https://www.allmusicals.com/lyrics/ohkay/dododo.htm
Finale Act 1	https://www.allmusicals.com/lyrics/ohkay/finaleact1.htm
Bride and Groom	https://www.allmusicals.com/lyrics/ohkay/brideandgroom.htm
Ain't It Romantic?	https://www.allmusicals.com/lyrics/ohkay/aintitromantic.htm
Fidgety Feet	https://www.allmusicals.com/lyrics/ohkay/fidgetyfeet.htm
Heaven on Earth	https://www.allmusicals.com/lyrics/ohkay/heavenonearth.htm
Finale to Act 2, Scene 1	https://www.allmusicals.com/lyrics/ohkay/finaletoact2scene1.htm
Dance Specialty	https://www.allmusicals.com/lyrics/ohkay/dancespecialty.htm
Oh, Kay!	https://www.allmusicals.com/lyrics/ohkay/ohkay.htm
Finale Ultimo	https://www.allmusicals.com/lyrics/ohkay/finaleultimo.htm
