song-name	url
Overture	https://www.allmusicals.com/lyrics/oklahoma/overture.htm
Oh, What a Beautiful Morning	https://www.allmusicals.com/lyrics/oklahoma/ohwhatabeautifulmorning.htm
Laurey's Entrance	https://www.allmusicals.com/lyrics/oklahoma/laureysentrance.htm
Surrey With the Fringe on Top	https://www.allmusicals.com/lyrics/oklahoma/surreywiththefringeontop.htm
Kansas City	https://www.allmusicals.com/lyrics/oklahoma/kansascity.htm
I Cain't Say No	https://www.allmusicals.com/lyrics/oklahoma/icaintsayno.htm
Many a New Day	https://www.allmusicals.com/lyrics/oklahoma/manyanewday.htm
Many A New Day Ballet	https://www.allmusicals.com/lyrics/oklahoma/manyanewdayballet.htm
It's a Scandal! It's a Outrage!	https://www.allmusicals.com/lyrics/oklahoma/itsascandalitsaoutrage.htm
People Will Say We're in Love	https://www.allmusicals.com/lyrics/oklahoma/peoplewillsaywereinlove.htm
Pore Jud Is Daid	https://www.allmusicals.com/lyrics/oklahoma/porejudisdaid.htm
Lonely Room	https://www.allmusicals.com/lyrics/oklahoma/lonelyroom.htm
Out of My Dreams	https://www.allmusicals.com/lyrics/oklahoma/outofmydreams.htm
Farmer and the Cowman	https://www.allmusicals.com/lyrics/oklahoma/farmerandthecowman.htm
All Er Nothin'	https://www.allmusicals.com/lyrics/oklahoma/allernothin.htm
People Will Say We're in Love (Reprise)	https://www.allmusicals.com/lyrics/oklahoma/peoplewillsaywereinlovereprise.htm
Oklahoma!	https://www.allmusicals.com/lyrics/oklahoma/oklahoma.htm
Finale: Oh, What A Beautiful Mornin'	https://www.allmusicals.com/lyrics/oklahoma/finaleohwhatabeautifulmornin.htm
