song-name	url
Prologue / Overture	https://www.allmusicals.com/lyrics/oliver/prologueoverture.htm
Food, Glorius Food	https://www.allmusicals.com/lyrics/oliver/foodgloriusfood.htm
Oliver	https://www.allmusicals.com/lyrics/oliver/oliver.htm
I Shall Scream	https://www.allmusicals.com/lyrics/oliver/ishallscream.htm
Boy for Sale	https://www.allmusicals.com/lyrics/oliver/boyforsale.htm
That's Your Funeral	https://www.allmusicals.com/lyrics/oliver/thatsyourfuneral.htm
Coffin Music	https://www.allmusicals.com/lyrics/oliver/coffinmusic.htm
Where Is Love?	https://www.allmusicals.com/lyrics/oliver/whereislove.htm
Consider Yourself	https://www.allmusicals.com/lyrics/oliver/consideryourself.htm
You've Got to Pick a Pocket or Two	https://www.allmusicals.com/lyrics/oliver/youvegottopickapocketortwo.htm
It's a Fine Life	https://www.allmusicals.com/lyrics/oliver/itsafinelife.htm
I'd Do Anything	https://www.allmusicals.com/lyrics/oliver/iddoanything.htm
Be Back Soon	https://www.allmusicals.com/lyrics/oliver/bebacksoon.htm
Capture of Oliver / Robbery	https://www.allmusicals.com/lyrics/oliver/captureofoliverrobbery.htm
Oom-Pah-Pah	https://www.allmusicals.com/lyrics/oliver/oompahpah.htm
My Name	https://www.allmusicals.com/lyrics/oliver/myname.htm
As Long as He Needs Me	https://www.allmusicals.com/lyrics/oliver/aslongasheneedsme.htm
Where is Love (reprise)	https://www.allmusicals.com/lyrics/oliver/whereislovereprise.htm
Who Will Buy?	https://www.allmusicals.com/lyrics/oliver/whowillbuy.htm
It's a Fine Life (reprise)	https://www.allmusicals.com/lyrics/oliver/itsafinelifereprise.htm
Reviewing the Situation	https://www.allmusicals.com/lyrics/oliver/reviewingthesituation.htm
Oliver (Reprise)	https://www.allmusicals.com/lyrics/oliver/oliverreprise.htm
As Long as He Needs Me (Reprise)	https://www.allmusicals.com/lyrics/oliver/aslongasheneedsmereprise.htm
London Bridge / Chase / Death of Bill Sikes	https://www.allmusicals.com/lyrics/oliver/londonbridgechasedeathofbillsikes.htm
Reviewing the Situation (Reprise)	https://www.allmusicals.com/lyrics/oliver/reviewingthesituationreprise.htm
Finale	https://www.allmusicals.com/lyrics/oliver/finale.htm
