song-name	url
Overture	https://www.allmusicals.com/lyrics/onceuponamattress/overture.htm
Many Moons Ago	https://www.allmusicals.com/lyrics/onceuponamattress/manymoonsago.htm
An Opening for a Princess	https://www.allmusicals.com/lyrics/onceuponamattress/anopeningforaprincess.htm
In a Little While	https://www.allmusicals.com/lyrics/onceuponamattress/inalittlewhile.htm
On a Stormy Night	https://www.allmusicals.com/lyrics/onceuponamattress/onastormynight.htm
Shy	https://www.allmusicals.com/lyrics/onceuponamattress/shy.htm
Minstrel, the Jester & I	https://www.allmusicals.com/lyrics/onceuponamattress/minstrelthejesteri.htm
Sensitivity	https://www.allmusicals.com/lyrics/onceuponamattress/sensitivity.htm
The Swamps of Home	https://www.allmusicals.com/lyrics/onceuponamattress/theswampsofhome.htm
Normandy	https://www.allmusicals.com/lyrics/onceuponamattress/normandy.htm
Spanish Panic	https://www.allmusicals.com/lyrics/onceuponamattress/spanishpanic.htm
Song of Love	https://www.allmusicals.com/lyrics/onceuponamattress/songoflove.htm
Entr'acte	https://www.allmusicals.com/lyrics/onceuponamattress/entracte.htm
Quiet	https://www.allmusicals.com/lyrics/onceuponamattress/quiet.htm
Goodnight, Sweet Princess	https://www.allmusicals.com/lyrics/onceuponamattress/goodnightsweetprincess.htm
Happily Ever After	https://www.allmusicals.com/lyrics/onceuponamattress/happilyeverafter.htm
Man to Man Talk	https://www.allmusicals.com/lyrics/onceuponamattress/mantomantalk.htm
Very Soft Shoes	https://www.allmusicals.com/lyrics/onceuponamattress/verysoftshoes.htm
Yesterday I Loved You	https://www.allmusicals.com/lyrics/onceuponamattress/yesterdayilovedyou.htm
Nightingale Lullaby	https://www.allmusicals.com/lyrics/onceuponamattress/nightingalelullaby.htm
Finale	https://www.allmusicals.com/lyrics/onceuponamattress/finale.htm
