song-name	url
Prologue. A Dream Is a Wish Your Heart Makes	https://www.allmusicals.com/lyrics/ontherecord/prologueadreamisawishyourheartmakes.htm
Prologue. Whistle While You Work / Give a Little Whistle	https://www.allmusicals.com/lyrics/ontherecord/prologuewhistlewhileyouworkgivealittlewhistle.htm
Can You Feel the Love Tonight / I Won't Say I (I'm in Love) / Let's Get Together	https://www.allmusicals.com/lyrics/ontherecord/canyoufeelthelovetonightiwontsayiiminloveletsgettogether.htm
Someday My Prince Will Come / Once Upon a Dream	https://www.allmusicals.com/lyrics/ontherecord/somedaymyprincewillcomeonceuponadream.htm
The Walrus and the Carpenter / I Wan'na Be Like You	https://www.allmusicals.com/lyrics/ontherecord/thewalrusandthecarpenteriwannabelikeyou.htm
Prince Ali	https://www.allmusicals.com/lyrics/ontherecord/princeali.htm
I Just Can't Wait to Be King / Lavender Blue	https://www.allmusicals.com/lyrics/ontherecord/ijustcantwaittobekinglavenderblue.htm
When She Loved Me	https://www.allmusicals.com/lyrics/ontherecord/whenshelovedme.htm
Minnie's Yoo-Hoo	https://www.allmusicals.com/lyrics/ontherecord/minniesyoohoo.htm
Heigh-Ho	https://www.allmusicals.com/lyrics/ontherecord/heighho.htm
The Work Song	https://www.allmusicals.com/lyrics/ontherecord/theworksong.htm
I'm Wishing / One Song	https://www.allmusicals.com/lyrics/ontherecord/imwishingonesong.htm
You Can Fly! You Can Fly! You Can Fly!	https://www.allmusicals.com/lyrics/ontherecord/youcanflyyoucanflyyoucanfly.htm
So This is Love	https://www.allmusicals.com/lyrics/ontherecord/sothisislove.htm
A Whole New World	https://www.allmusicals.com/lyrics/ontherecord/awholenewworld.htm
The Second Star to the Right	https://www.allmusicals.com/lyrics/ontherecord/thesecondstartotheright.htm
Under the Sea	https://www.allmusicals.com/lyrics/ontherecord/underthesea.htm
Part of Your World	https://www.allmusicals.com/lyrics/ontherecord/partofyourworld.htm
Poor Unfortunate Souls	https://www.allmusicals.com/lyrics/ontherecord/poorunfortunatesouls.htm
Kiss the Girl	https://www.allmusicals.com/lyrics/ontherecord/kissthegirl.htm
Reflection	https://www.allmusicals.com/lyrics/ontherecord/reflection.htm
Bella Notte / Les Poissons	https://www.allmusicals.com/lyrics/ontherecord/bellanottelespoissons.htm
Ev'rybody Wants to Be a Cat / The Siamese Cat Song / The Tiki Tiki Tiki Room	https://www.allmusicals.com/lyrics/ontherecord/evrybodywantstobeacatthesiamesecatsongthetikitikitikiroom.htm
He's a Tramp	https://www.allmusicals.com/lyrics/ontherecord/hesatramp.htm
Higitus Figitus/Bibbidi-Bobbidi-Boo/Supercalifragilisticexpialidocious/Hi-Diddle-Dee-Dee/Following The Leader/Zip-A-Dee-Doo-Dah/The Dwarf's Yodel Song (The Silly Song)/Hakuna Matata/Mickey Mouse March	https://www.allmusicals.com/lyrics/ontherecord/higitusfigitusbibbidibobbidiboosupercalifragilisticexpialidocioushididdledeedeefollowingtheleaderzipadeedoodahthedwarfsyodelsongthesillysonghakunamatatamickeymousemarch.htm
Let's Go Fly a Kite	https://www.allmusicals.com/lyrics/ontherecord/letsgoflyakite.htm
I Will Go Sailing No More / Just Around the Riverbend / Strangers Like Me	https://www.allmusicals.com/lyrics/ontherecord/iwillgosailingnomorejustaroundtheriverbendstrangerslikeme.htm
Colors of the Wind	https://www.allmusicals.com/lyrics/ontherecord/colorsofthewind.htm
When I See an Elephant Fly	https://www.allmusicals.com/lyrics/ontherecord/wheniseeanelephantfly.htm
Look Out for Mr. Stork	https://www.allmusicals.com/lyrics/ontherecord/lookoutformrstork.htm
Pink Elephants on Parade	https://www.allmusicals.com/lyrics/ontherecord/pinkelephantsonparade.htm
Baby Mine	https://www.allmusicals.com/lyrics/ontherecord/babymine.htm
The Bells of Notre Dame	https://www.allmusicals.com/lyrics/ontherecord/thebellsofnotredame.htm
Out There	https://www.allmusicals.com/lyrics/ontherecord/outthere.htm
Something There / Beauty and the Beast	https://www.allmusicals.com/lyrics/ontherecord/somethingtherebeautyandthebeast.htm
A Change in Me	https://www.allmusicals.com/lyrics/ontherecord/achangeinme.htm
Be Our Guest	https://www.allmusicals.com/lyrics/ontherecord/beourguest.htm
Will the Sun Ever Shine Again	https://www.allmusicals.com/lyrics/ontherecord/willthesunevershineagain.htm
You've Got A Friend in Me	https://www.allmusicals.com/lyrics/ontherecord/youvegotafriendinme.htm
If I Never Knew You	https://www.allmusicals.com/lyrics/ontherecord/ifineverknewyou.htm
You'll Be in My Heart	https://www.allmusicals.com/lyrics/ontherecord/youllbeinmyheart.htm
When You Wish Upon a Star	https://www.allmusicals.com/lyrics/ontherecord/whenyouwishuponastar.htm
A Dream Is a Wish Your Heart Makes (reprise)	https://www.allmusicals.com/lyrics/ontherecord/adreamisawishyourheartmakesreprise.htm
Mickey Mouse March / Colonel Hathi's March / Cruella De Vil/A Spoonful Of Sugar / Winnie The Pooh / I've Got No Strings	https://www.allmusicals.com/lyrics/ontherecord/mickeymousemarchcolonelhathismarchcruelladevilaspoonfulofsugarwinniethepoohivegotnostrings.htm
