song-name	url
I Feel Like I'm Not Out of Bed Yet	https://www.allmusicals.com/lyrics/onthetown/ifeellikeimnotoutofbedyet.htm
New York! New York!	https://www.allmusicals.com/lyrics/onthetown/newyorknewyork.htm
Miss Turnstiles	https://www.allmusicals.com/lyrics/onthetown/missturnstiles.htm
Come Up To My Place	https://www.allmusicals.com/lyrics/onthetown/comeuptomyplace.htm
Carried Away	https://www.allmusicals.com/lyrics/onthetown/carriedaway.htm
Lonely Town	https://www.allmusicals.com/lyrics/onthetown/lonelytown.htm
Carnegie Hall Pavane	https://www.allmusicals.com/lyrics/onthetown/carnegiehallpavane.htm
Lucky to Be Me	https://www.allmusicals.com/lyrics/onthetown/luckytobeme.htm
I Understand	https://www.allmusicals.com/lyrics/onthetown/iunderstand.htm
I Can Cook Too	https://www.allmusicals.com/lyrics/onthetown/icancooktoo.htm
Times Square Ballet	https://www.allmusicals.com/lyrics/onthetown/timessquareballet.htm
So Long Baby	https://www.allmusicals.com/lyrics/onthetown/solongbaby.htm
I Wish I Was Dead	https://www.allmusicals.com/lyrics/onthetown/iwishiwasdead.htm
Ya Got Me	https://www.allmusicals.com/lyrics/onthetown/yagotme.htm
Subway Ride	https://www.allmusicals.com/lyrics/onthetown/subwayride.htm
Some Other Time	https://www.allmusicals.com/lyrics/onthetown/someothertime.htm
The Real Coney Island	https://www.allmusicals.com/lyrics/onthetown/therealconeyisland.htm
Finale	https://www.allmusicals.com/lyrics/onthetown/finale.htm
