song-name	url
Rhythm Is Gonna Get You	https://www.allmusicals.com/lyrics/onyourfeet/rhythmisgonnagetyou.htm
Tradicion	https://www.allmusicals.com/lyrics/onyourfeet/tradicion.htm
Anything for You	https://www.allmusicals.com/lyrics/onyourfeet/anythingforyou.htm
1-2-3	https://www.allmusicals.com/lyrics/onyourfeet/123.htm
I See Your Smile	https://www.allmusicals.com/lyrics/onyourfeet/iseeyoursmile.htm
Mi Tierra	https://www.allmusicals.com/lyrics/onyourfeet/mitierra.htm
Con Los Anos Que Me Quedan	https://www.allmusicals.com/lyrics/onyourfeet/conlosanosquemequedan.htm
Here We Are	https://www.allmusicals.com/lyrics/onyourfeet/hereweare.htm
When Someone Comes Into Your Life	https://www.allmusicals.com/lyrics/onyourfeet/whensomeonecomesintoyourlife.htm
Conga	https://www.allmusicals.com/lyrics/onyourfeet/conga.htm
Get on Your Feet	https://www.allmusicals.com/lyrics/onyourfeet/getonyourfeet.htm
Live for Loving You	https://www.allmusicals.com/lyrics/onyourfeet/liveforlovingyou.htm
You'll Be Mine (Party Time)	https://www.allmusicals.com/lyrics/onyourfeet/youllbeminepartytime.htm
Oye Mi Canto	https://www.allmusicals.com/lyrics/onyourfeet/oyemicanto.htm
Cuba Libre	https://www.allmusicals.com/lyrics/onyourfeet/cubalibre.htm
Famous	https://www.allmusicals.com/lyrics/onyourfeet/famous.htm
Wrapped	https://www.allmusicals.com/lyrics/onyourfeet/wrapped.htm
Don't Wanna Lose You	https://www.allmusicals.com/lyrics/onyourfeet/dontwannaloseyou.htm
Reach	https://www.allmusicals.com/lyrics/onyourfeet/reach.htm
Coming Out of the Dark	https://www.allmusicals.com/lyrics/onyourfeet/comingoutofthedark.htm
Mega Mix	https://www.allmusicals.com/lyrics/onyourfeet/megamix.htm
