song-name	url
Prologue	https://www.allmusicals.com/lyrics/outofthisworld/prologue.htm
I Jupiter, I Rex	https://www.allmusicals.com/lyrics/outofthisworld/ijupiterirex.htm
Use Your Imagination	https://www.allmusicals.com/lyrics/outofthisworld/useyourimagination.htm
Hail, Hail, Hail	https://www.allmusicals.com/lyrics/outofthisworld/hailhailhail.htm
I Got Beauty	https://www.allmusicals.com/lyrics/outofthisworld/igotbeauty.htm
Maiden Fair	https://www.allmusicals.com/lyrics/outofthisworld/maidenfair.htm
Where, Oh, Where?	https://www.allmusicals.com/lyrics/outofthisworld/whereohwhere.htm
I Am Loved	https://www.allmusicals.com/lyrics/outofthisworld/iamloved.htm
They Couldn't Compare To You	https://www.allmusicals.com/lyrics/outofthisworld/theycouldntcomparetoyou.htm
From This Moment On	https://www.allmusicals.com/lyrics/outofthisworld/fromthismomenton.htm
What Do You Think About Men?	https://www.allmusicals.com/lyrics/outofthisworld/whatdoyouthinkaboutmen.htm
You Don't Remind Me	https://www.allmusicals.com/lyrics/outofthisworld/youdontremindme.htm
I Sleep Easier Now	https://www.allmusicals.com/lyrics/outofthisworld/isleepeasiernow.htm
Climb Up The Mountain	https://www.allmusicals.com/lyrics/outofthisworld/climbupthemountain.htm
No Lover (For Me)	https://www.allmusicals.com/lyrics/outofthisworld/noloverforme.htm
Cherry Pies Ought To Be You	https://www.allmusicals.com/lyrics/outofthisworld/cherrypiesoughttobeyou.htm
Hark To The Song Of The Night	https://www.allmusicals.com/lyrics/outofthisworld/harktothesongofthenight.htm
Nobody's Chasing Me	https://www.allmusicals.com/lyrics/outofthisworld/nobodyschasingme.htm
Finale (Company)	https://www.allmusicals.com/lyrics/outofthisworld/finalecompany.htm
