song-name	url
Prologue	https://www.allmusicals.com/lyrics/pacificovertures/prologue.htm
Advantages of Floating in the Middle of the Sea	https://www.allmusicals.com/lyrics/pacificovertures/advantagesoffloatinginthemiddleofthesea.htm
There Is No Other Way	https://www.allmusicals.com/lyrics/pacificovertures/thereisnootherway.htm
Four Black Dragons	https://www.allmusicals.com/lyrics/pacificovertures/fourblackdragons.htm
Chrysanthemum Tea	https://www.allmusicals.com/lyrics/pacificovertures/chrysanthemumtea.htm
Poems	https://www.allmusicals.com/lyrics/pacificovertures/poems.htm
Welcome to Kanagawa	https://www.allmusicals.com/lyrics/pacificovertures/welcometokanagawa.htm
Someone in a Tree	https://www.allmusicals.com/lyrics/pacificovertures/someoneinatree.htm
Please Hello	https://www.allmusicals.com/lyrics/pacificovertures/pleasehello.htm
Bowler Hat	https://www.allmusicals.com/lyrics/pacificovertures/bowlerhat.htm
Pretty Lady	https://www.allmusicals.com/lyrics/pacificovertures/prettylady.htm
Next	https://www.allmusicals.com/lyrics/pacificovertures/next.htm
