song-name	url
You Mustn't Kick It Around	https://www.allmusicals.com/lyrics/paljoey/youmustntkickitaround.htm
I Could Write A Book	https://www.allmusicals.com/lyrics/paljoey/icouldwriteabook.htm
Chicago (A Great Big Town)	https://www.allmusicals.com/lyrics/paljoey/chicagoagreatbigtown.htm
That Terrific Rainbow	https://www.allmusicals.com/lyrics/paljoey/thatterrificrainbow.htm
What Is A Man?	https://www.allmusicals.com/lyrics/paljoey/whatisaman.htm
Happy Hunting Horn	https://www.allmusicals.com/lyrics/paljoey/happyhuntinghorn.htm
Bewitched, Bothered And Bewildered	https://www.allmusicals.com/lyrics/paljoey/bewitchedbotheredandbewildered.htm
Pal Joey (What Do I Care For A Dame?)	https://www.allmusicals.com/lyrics/paljoey/paljoeywhatdoicareforadame.htm
The Flower Garden Of My Heart	https://www.allmusicals.com/lyrics/paljoey/theflowergardenofmyheart.htm
Zip	https://www.allmusicals.com/lyrics/paljoey/zip.htm
Do It The Hard Way	https://www.allmusicals.com/lyrics/paljoey/doitthehardway.htm
Take Him	https://www.allmusicals.com/lyrics/paljoey/takehim.htm
Finale	https://www.allmusicals.com/lyrics/paljoey/finale.htm
Finale: I Could Write a Book	https://www.allmusicals.com/lyrics/paljoey/finaleicouldwriteabook.htm
I Didn't Know What Time It Was	https://www.allmusicals.com/lyrics/paljoey/ididntknowwhattimeitwas.htm
There's A Small Hotel	https://www.allmusicals.com/lyrics/paljoey/theresasmallhotel.htm
My Funny Valentine	https://www.allmusicals.com/lyrics/paljoey/myfunnyvalentine.htm
The Lady is a Tramp	https://www.allmusicals.com/lyrics/paljoey/theladyisatramp.htm
