song-name	url
The Old Red Hills of Home	https://www.allmusicals.com/lyrics/parade/theoldredhillsofhome.htm
The Dream of Atlanta	https://www.allmusicals.com/lyrics/parade/thedreamofatlanta.htm
How Can I Call This Home	https://www.allmusicals.com/lyrics/parade/howcanicallthishome.htm
The Picture Show	https://www.allmusicals.com/lyrics/parade/thepictureshow.htm
Leo at Work/What Am I Waiting For?	https://www.allmusicals.com/lyrics/parade/leoatworkwhatamiwaitingfor.htm
I Am Trying to Remember...	https://www.allmusicals.com/lyrics/parade/iamtryingtoremember.htm
Big News!	https://www.allmusicals.com/lyrics/parade/bignews.htm
Funeral: There Is a Fountain/It Don't Make Sense	https://www.allmusicals.com/lyrics/parade/funeralthereisafountainitdontmakesense.htm
Lullaby	https://www.allmusicals.com/lyrics/parade/lullaby.htm
Somethin' Ain't Right	https://www.allmusicals.com/lyrics/parade/somethinaintright.htm
Real Big News	https://www.allmusicals.com/lyrics/parade/realbignews.htm
You Don't Know This Man	https://www.allmusicals.com/lyrics/parade/youdontknowthisman.htm
People of Atlanta	https://www.allmusicals.com/lyrics/parade/peopleofatlanta.htm
Twenty Miles from Marietta	https://www.allmusicals.com/lyrics/parade/twentymilesfrommarietta.htm
Frankie's Testimony	https://www.allmusicals.com/lyrics/parade/frankiestestimony.htm
The Factory Girls/Come up to My Office	https://www.allmusicals.com/lyrics/parade/thefactorygirlscomeuptomyoffice.htm
My Child Will Forgive Me	https://www.allmusicals.com/lyrics/parade/mychildwillforgiveme.htm
That's What He Said	https://www.allmusicals.com/lyrics/parade/thatswhathesaid.htm
It's Hard To Speak My Heart	https://www.allmusicals.com/lyrics/parade/itshardtospeakmyheart.htm
Summation and Cakewalk	https://www.allmusicals.com/lyrics/parade/summationandcakewalk.htm
A Rumblin' and a Rollin'	https://www.allmusicals.com/lyrics/parade/arumblinandarollin.htm
Do it Alone	https://www.allmusicals.com/lyrics/parade/doitalone.htm
Pretty Music	https://www.allmusicals.com/lyrics/parade/prettymusic.htm
Letter to the Governor	https://www.allmusicals.com/lyrics/parade/lettertothegovernor.htm
This Is Not Over Yet	https://www.allmusicals.com/lyrics/parade/thisisnotoveryet.htm
Blues: Feel the Rain Fall	https://www.allmusicals.com/lyrics/parade/bluesfeeltherainfall.htm
Where Will You Stand When the Flood Comes	https://www.allmusicals.com/lyrics/parade/wherewillyoustandwhenthefloodcomes.htm
All the Wasted Time	https://www.allmusicals.com/lyrics/parade/allthewastedtime.htm
Abduction	https://www.allmusicals.com/lyrics/parade/abduction.htm
Sh'ma	https://www.allmusicals.com/lyrics/parade/shma.htm
Finale	https://www.allmusicals.com/lyrics/parade/finale.htm
