song-name	url
Was My Brother In The Battle	https://www.allmusicals.com/lyrics/paradisesquare/wasmybrotherinthebattle.htm
Camptown Races	https://www.allmusicals.com/lyrics/paradisesquare/camptownraces.htm
Ah! May the Red Rose Live Alway!	https://www.allmusicals.com/lyrics/paradisesquare/ahmaytheredroselivealway.htm
Nelly was a Lady	https://www.allmusicals.com/lyrics/paradisesquare/nellywasalady.htm
Oh! Susanna	https://www.allmusicals.com/lyrics/paradisesquare/ohsusanna.htm
Gentle Annie	https://www.allmusicals.com/lyrics/paradisesquare/gentleannie.htm
I Would Not Die in Spring	https://www.allmusicals.com/lyrics/paradisesquare/iwouldnotdieinspring.htm
Angelina Baker	https://www.allmusicals.com/lyrics/paradisesquare/angelinabaker.htm
We Are Coming Father Abraham	https://www.allmusicals.com/lyrics/paradisesquare/wearecomingfatherabraham.htm
Ring, Ring de Banjo	https://www.allmusicals.com/lyrics/paradisesquare/ringringdebanjo.htm
Beautiful Dreamer	https://www.allmusicals.com/lyrics/paradisesquare/beautifuldreamer.htm
